simulation_id,mode,episode,start_timestamp,end_timestamp
travis_resstock-amy2018-2021-release-1-191067,train,0,2024-03-08 14:38:46.056785,2024-03-08 14:38:52.526407
travis_resstock-amy2018-2021-release-1-191067,train,1,2024-03-08 14:38:53.460151,2024-03-08 14:40:51.833641
travis_resstock-amy2018-2021-release-1-191067,train,2,2024-03-08 14:40:53.038033,2024-03-08 14:43:02.617015
travis_resstock-amy2018-2021-release-1-191067,train,3,2024-03-08 14:43:04.043683,2024-03-08 14:45:13.245029
travis_resstock-amy2018-2021-release-1-191067,train,4,2024-03-08 14:45:14.889662,2024-03-08 14:47:23.999287
travis_resstock-amy2018-2021-release-1-191067,train,5,2024-03-08 14:47:25.882086,2024-03-08 14:49:35.237316
travis_resstock-amy2018-2021-release-1-191067,train,6,2024-03-08 14:49:37.351675,2024-03-08 14:51:46.462433
travis_resstock-amy2018-2021-release-1-191067,train,7,2024-03-08 14:51:48.763917,2024-03-08 14:53:57.882669
travis_resstock-amy2018-2021-release-1-191067,train,8,2024-03-08 14:54:00.413252,2024-03-08 14:56:09.483276
travis_resstock-amy2018-2021-release-1-191067,train,9,2024-03-08 14:56:12.209339,2024-03-08 14:58:21.178318
travis_resstock-amy2018-2021-release-1-191067,train,10,2024-03-08 14:58:24.162119,2024-03-08 15:00:32.945582
