cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.9927198349664264,District,district,train,0,travis_resstock-amy2018-2021-release-1-127757
average_daily_peak,1.174316450305931,District,district,train,0,travis_resstock-amy2018-2021-release-1-127757
carbon_emissions,,District,district,train,0,travis_resstock-amy2018-2021-release-1-127757
cost,,District,district,train,0,travis_resstock-amy2018-2021-release-1-127757
electricity_consumption,1.091810165519418,District,district,train,0,travis_resstock-amy2018-2021-release-1-127757
peak_demand,1.0736463860642078,District,district,train,0,travis_resstock-amy2018-2021-release-1-127757
ramping,1.968535052665381,District,district,train,0,travis_resstock-amy2018-2021-release-1-127757
zero_net_energy,1.0982437389080142,District,district,train,0,travis_resstock-amy2018-2021-release-1-127757
electricity_consumption,1.091810165519418,resstock-amy2018-2021-release-1-127757,building,train,0,travis_resstock-amy2018-2021-release-1-127757
zero_net_energy,1.0982437389080142,resstock-amy2018-2021-release-1-127757,building,train,0,travis_resstock-amy2018-2021-release-1-127757
carbon_emissions,,resstock-amy2018-2021-release-1-127757,building,train,0,travis_resstock-amy2018-2021-release-1-127757
cost,,resstock-amy2018-2021-release-1-127757,building,train,0,travis_resstock-amy2018-2021-release-1-127757
1 - load_factor,0.9965967326370566,District,district,train,1,travis_resstock-amy2018-2021-release-1-127757
average_daily_peak,0.9864009607821104,District,district,train,1,travis_resstock-amy2018-2021-release-1-127757
carbon_emissions,,District,district,train,1,travis_resstock-amy2018-2021-release-1-127757
cost,,District,district,train,1,travis_resstock-amy2018-2021-release-1-127757
electricity_consumption,0.9858296555598788,District,district,train,1,travis_resstock-amy2018-2021-release-1-127757
peak_demand,1.058251307730988,District,district,train,1,travis_resstock-amy2018-2021-release-1-127757
ramping,1.0953425346660566,District,district,train,1,travis_resstock-amy2018-2021-release-1-127757
zero_net_energy,1.0324860219838807,District,district,train,1,travis_resstock-amy2018-2021-release-1-127757
electricity_consumption,0.9858296555598788,resstock-amy2018-2021-release-1-127757,building,train,1,travis_resstock-amy2018-2021-release-1-127757
zero_net_energy,1.0324860219838807,resstock-amy2018-2021-release-1-127757,building,train,1,travis_resstock-amy2018-2021-release-1-127757
carbon_emissions,,resstock-amy2018-2021-release-1-127757,building,train,1,travis_resstock-amy2018-2021-release-1-127757
cost,,resstock-amy2018-2021-release-1-127757,building,train,1,travis_resstock-amy2018-2021-release-1-127757
1 - load_factor,0.9919768668887072,District,district,train,2,travis_resstock-amy2018-2021-release-1-127757
average_daily_peak,0.9325363965771404,District,district,train,2,travis_resstock-amy2018-2021-release-1-127757
carbon_emissions,,District,district,train,2,travis_resstock-amy2018-2021-release-1-127757
cost,,District,district,train,2,travis_resstock-amy2018-2021-release-1-127757
electricity_consumption,0.941415678237232,District,district,train,2,travis_resstock-amy2018-2021-release-1-127757
peak_demand,1.00121204778383,District,district,train,2,travis_resstock-amy2018-2021-release-1-127757
ramping,1.005050249080115,District,district,train,2,travis_resstock-amy2018-2021-release-1-127757
zero_net_energy,1.0470683273650614,District,district,train,2,travis_resstock-amy2018-2021-release-1-127757
electricity_consumption,0.941415678237232,resstock-amy2018-2021-release-1-127757,building,train,2,travis_resstock-amy2018-2021-release-1-127757
zero_net_energy,1.0470683273650614,resstock-amy2018-2021-release-1-127757,building,train,2,travis_resstock-amy2018-2021-release-1-127757
carbon_emissions,,resstock-amy2018-2021-release-1-127757,building,train,2,travis_resstock-amy2018-2021-release-1-127757
cost,,resstock-amy2018-2021-release-1-127757,building,train,2,travis_resstock-amy2018-2021-release-1-127757
1 - load_factor,0.9911786150863268,District,district,train,3,travis_resstock-amy2018-2021-release-1-127757
average_daily_peak,0.9262641545369396,District,district,train,3,travis_resstock-amy2018-2021-release-1-127757
carbon_emissions,,District,district,train,3,travis_resstock-amy2018-2021-release-1-127757
