simulation_id,mode,episode,start_timestamp,end_timestamp
alameda_resstock-amy2018-2021-release-1-530679,train,0,2024-03-05 10:14:21.257087,2024-03-05 10:14:22.322171
alameda_resstock-amy2018-2021-release-1-530679,train,1,2024-03-05 10:14:22.502533,2024-03-05 10:14:41.665743
alameda_resstock-amy2018-2021-release-1-530679,train,2,2024-03-05 10:14:41.892997,2024-03-05 10:15:02.622927
alameda_resstock-amy2018-2021-release-1-530679,train,3,2024-03-05 10:15:02.883004,2024-03-05 10:15:23.560931
alameda_resstock-amy2018-2021-release-1-530679,train,4,2024-03-05 10:15:23.851552,2024-03-05 10:15:44.557491
alameda_resstock-amy2018-2021-release-1-530679,train,5,2024-03-05 10:15:44.885819,2024-03-05 10:16:05.530938
alameda_resstock-amy2018-2021-release-1-530679,train,6,2024-03-05 10:16:05.891200,2024-03-05 10:16:27.422188
alameda_resstock-amy2018-2021-release-1-530679,train,7,2024-03-05 10:16:27.922916,2024-03-05 10:16:48.771345
alameda_resstock-amy2018-2021-release-1-530679,train,8,2024-03-05 10:16:49.222409,2024-03-05 10:17:10.005895
alameda_resstock-amy2018-2021-release-1-530679,train,9,2024-03-05 10:17:10.469967,2024-03-05 10:17:31.946971
alameda_resstock-amy2018-2021-release-1-530679,train,10,2024-03-05 10:17:32.464432,2024-03-05 10:17:53.723446
