cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.9835750086249445,District,district,train,0,alameda_resstock-amy2018-2021-release-1-112641
average_daily_peak,1.203010587151506,District,district,train,0,alameda_resstock-amy2018-2021-release-1-112641
carbon_emissions,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-112641
cost,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-112641
electricity_consumption,1.226284548248566,District,district,train,0,alameda_resstock-amy2018-2021-release-1-112641
peak_demand,1.0733126669393676,District,district,train,0,alameda_resstock-amy2018-2021-release-1-112641
ramping,1.750790687480458,District,district,train,0,alameda_resstock-amy2018-2021-release-1-112641
zero_net_energy,1.915296955008312,District,district,train,0,alameda_resstock-amy2018-2021-release-1-112641
electricity_consumption,1.226284548248566,resstock-amy2018-2021-release-1-112641,building,train,0,alameda_resstock-amy2018-2021-release-1-112641
zero_net_energy,1.915296955008312,resstock-amy2018-2021-release-1-112641,building,train,0,alameda_resstock-amy2018-2021-release-1-112641
carbon_emissions,,resstock-amy2018-2021-release-1-112641,building,train,0,alameda_resstock-amy2018-2021-release-1-112641
cost,,resstock-amy2018-2021-release-1-112641,building,train,0,alameda_resstock-amy2018-2021-release-1-112641
