cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.9791486366250142,District,district,train,0,alameda_resstock-amy2018-2021-release-1-523369
average_daily_peak,1.3255577719274487,District,district,train,0,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-523369
cost,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,1.3048691243347192,District,district,train,0,alameda_resstock-amy2018-2021-release-1-523369
peak_demand,1.0036475217657628,District,district,train,0,alameda_resstock-amy2018-2021-release-1-523369
ramping,2.1684360952591035,District,district,train,0,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.416126051131385,District,district,train,0,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,1.3048691243347192,resstock-amy2018-2021-release-1-523369,building,train,0,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.416126051131385,resstock-amy2018-2021-release-1-523369,building,train,0,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,resstock-amy2018-2021-release-1-523369,building,train,0,alameda_resstock-amy2018-2021-release-1-523369
cost,,resstock-amy2018-2021-release-1-523369,building,train,0,alameda_resstock-amy2018-2021-release-1-523369
1 - load_factor,0.9777562981223946,District,district,train,1,alameda_resstock-amy2018-2021-release-1-523369
average_daily_peak,1.0286335657744214,District,district,train,1,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,District,district,train,1,alameda_resstock-amy2018-2021-release-1-523369
cost,,District,district,train,1,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,1.023850450358654,District,district,train,1,alameda_resstock-amy2018-2021-release-1-523369
peak_demand,0.8838671316099059,District,district,train,1,alameda_resstock-amy2018-2021-release-1-523369
ramping,1.314242162839726,District,district,train,1,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.221094114273012,District,district,train,1,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,1.023850450358654,resstock-amy2018-2021-release-1-523369,building,train,1,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.221094114273012,resstock-amy2018-2021-release-1-523369,building,train,1,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,resstock-amy2018-2021-release-1-523369,building,train,1,alameda_resstock-amy2018-2021-release-1-523369
cost,,resstock-amy2018-2021-release-1-523369,building,train,1,alameda_resstock-amy2018-2021-release-1-523369
1 - load_factor,0.9887627497668574,District,district,train,2,alameda_resstock-amy2018-2021-release-1-523369
average_daily_peak,0.9758120742338664,District,district,train,2,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,District,district,train,2,alameda_resstock-amy2018-2021-release-1-523369
cost,,District,district,train,2,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.933301866426802,District,district,train,2,alameda_resstock-amy2018-2021-release-1-523369
peak_demand,0.99846472861895,District,district,train,2,alameda_resstock-amy2018-2021-release-1-523369
ramping,1.2253090378638567,District,district,train,2,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1812905751344989,District,district,train,2,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.933301866426802,resstock-amy2018-2021-release-1-523369,building,train,2,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1812905751344989,resstock-amy2018-2021-release-1-523369,building,train,2,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,resstock-amy2018-2021-release-1-523369,building,train,2,alameda_resstock-amy2018-2021-release-1-523369
cost,,resstock-amy2018-2021-release-1-523369,building,train,2,alameda_resstock-amy2018-2021-release-1-523369
1 - load_factor,0.9922137357883968,District,district,train,3,alameda_resstock-amy2018-2021-release-1-523369
average_daily_peak,0.978933821843455,District,district,train,3,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,District,district,train,3,alameda_resstock-amy2018-2021-release-1-523369
cost,,District,district,train,3,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.8687615898027085,District,district,train,3,alameda_resstock-amy2018-2021-release-1-523369
peak_demand,0.9810582816703572,District,district,train,3,alameda_resstock-amy2018-2021-release-1-523369
ramping,1.225205474677764,District,district,train,3,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1554426569913874,District,district,train,3,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.8687615898027085,resstock-amy2018-2021-release-1-523369,building,train,3,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1554426569913874,resstock-amy2018-2021-release-1-523369,building,train,3,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,resstock-amy2018-2021-release-1-523369,building,train,3,alameda_resstock-amy2018-2021-release-1-523369
cost,,resstock-amy2018-2021-release-1-523369,building,train,3,alameda_resstock-amy2018-2021-release-1-523369
1 - load_factor,0.9888512679150182,District,district,train,4,alameda_resstock-amy2018-2021-release-1-523369
average_daily_peak,0.957956643348764,District,district,train,4,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,District,district,train,4,alameda_resstock-amy2018-2021-release-1-523369
cost,,District,district,train,4,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.8382872385514143,District,district,train,4,alameda_resstock-amy2018-2021-release-1-523369
peak_demand,1.043023309162535,District,district,train,4,alameda_resstock-amy2018-2021-release-1-523369
ramping,1.1283204990889717,District,district,train,4,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1704759280857877,District,district,train,4,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.8382872385514143,resstock-amy2018-2021-release-1-523369,building,train,4,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1704759280857877,resstock-amy2018-2021-release-1-523369,building,train,4,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,resstock-amy2018-2021-release-1-523369,building,train,4,alameda_resstock-amy2018-2021-release-1-523369
cost,,resstock-amy2018-2021-release-1-523369,building,train,4,alameda_resstock-amy2018-2021-release-1-523369
1 - load_factor,0.9889834987611944,District,district,train,5,alameda_resstock-amy2018-2021-release-1-523369
average_daily_peak,0.939951333734848,District,district,train,5,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,District,district,train,5,alameda_resstock-amy2018-2021-release-1-523369
cost,,District,district,train,5,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.8314875718656506,District,district,train,5,alameda_resstock-amy2018-2021-release-1-523369
peak_demand,1.0305903049791116,District,district,train,5,alameda_resstock-amy2018-2021-release-1-523369
ramping,1.1125003892900889,District,district,train,5,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1655288998546982,District,district,train,5,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.8314875718656506,resstock-amy2018-2021-release-1-523369,building,train,5,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1655288998546982,resstock-amy2018-2021-release-1-523369,building,train,5,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,resstock-amy2018-2021-release-1-523369,building,train,5,alameda_resstock-amy2018-2021-release-1-523369
cost,,resstock-amy2018-2021-release-1-523369,building,train,5,alameda_resstock-amy2018-2021-release-1-523369
1 - load_factor,0.988551654837732,District,district,train,6,alameda_resstock-amy2018-2021-release-1-523369
average_daily_peak,0.9414225068644744,District,district,train,6,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,District,district,train,6,alameda_resstock-amy2018-2021-release-1-523369
cost,,District,district,train,6,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.8235608457934568,District,district,train,6,alameda_resstock-amy2018-2021-release-1-523369
peak_demand,0.989605547686312,District,district,train,6,alameda_resstock-amy2018-2021-release-1-523369
ramping,1.0789589324029445,District,district,train,6,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1614306616986845,District,district,train,6,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.8235608457934568,resstock-amy2018-2021-release-1-523369,building,train,6,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1614306616986845,resstock-amy2018-2021-release-1-523369,building,train,6,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,resstock-amy2018-2021-release-1-523369,building,train,6,alameda_resstock-amy2018-2021-release-1-523369
cost,,resstock-amy2018-2021-release-1-523369,building,train,6,alameda_resstock-amy2018-2021-release-1-523369
1 - load_factor,0.988026296689753,District,district,train,7,alameda_resstock-amy2018-2021-release-1-523369
average_daily_peak,0.9426234484280086,District,district,train,7,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,District,district,train,7,alameda_resstock-amy2018-2021-release-1-523369
cost,,District,district,train,7,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.8131722843507694,District,district,train,7,alameda_resstock-amy2018-2021-release-1-523369
peak_demand,0.977184078596099,District,district,train,7,alameda_resstock-amy2018-2021-release-1-523369
ramping,1.0509568905610656,District,district,train,7,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1657169215869738,District,district,train,7,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.8131722843507694,resstock-amy2018-2021-release-1-523369,building,train,7,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1657169215869738,resstock-amy2018-2021-release-1-523369,building,train,7,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,resstock-amy2018-2021-release-1-523369,building,train,7,alameda_resstock-amy2018-2021-release-1-523369
cost,,resstock-amy2018-2021-release-1-523369,building,train,7,alameda_resstock-amy2018-2021-release-1-523369
1 - load_factor,0.9886366847092648,District,district,train,8,alameda_resstock-amy2018-2021-release-1-523369
average_daily_peak,0.9447590432005752,District,district,train,8,alameda_resstock-amy2018-2021-release-1-523369
carbon_emissions,,District,district,train,8,alameda_resstock-amy2018-2021-release-1-523369
cost,,District,district,train,8,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.8078644524479873,District,district,train,8,alameda_resstock-amy2018-2021-release-1-523369
peak_demand,1.03673291916411,District,district,train,8,alameda_resstock-amy2018-2021-release-1-523369
ramping,1.0411553612290882,District,district,train,8,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1718846177784814,District,district,train,8,alameda_resstock-amy2018-2021-release-1-523369
electricity_consumption,0.8078644524479873,resstock-amy2018-2021-release-1-523369,building,train,8,alameda_resstock-amy2018-2021-release-1-523369
zero_net_energy,1.1718846177784814,resstock-amy2018-2021-release-1-523369,building,train,8,alameda_resstock-amy2018-2021-release-1-523369
