simulation_id,mode,episode,start_timestamp,end_timestamp
travis_resstock-amy2018-2021-release-1-18098,train,0,2024-03-08 14:07:58.412292,2024-03-08 14:08:04.844049
travis_resstock-amy2018-2021-release-1-18098,train,1,2024-03-08 14:08:05.814170,2024-03-08 14:10:13.448975
travis_resstock-amy2018-2021-release-1-18098,train,2,2024-03-08 14:10:14.725812,2024-03-08 14:12:24.081423
travis_resstock-amy2018-2021-release-1-18098,train,3,2024-03-08 14:12:25.572096,2024-03-08 14:14:34.836737
travis_resstock-amy2018-2021-release-1-18098,train,4,2024-03-08 14:14:36.511175,2024-03-08 14:16:45.880533
travis_resstock-amy2018-2021-release-1-18098,train,5,2024-03-08 14:16:47.794678,2024-03-08 14:18:56.912697
travis_resstock-amy2018-2021-release-1-18098,train,6,2024-03-08 14:18:59.023237,2024-03-08 14:21:08.436779
travis_resstock-amy2018-2021-release-1-18098,train,7,2024-03-08 14:21:10.812888,2024-03-08 14:23:19.707242
travis_resstock-amy2018-2021-release-1-18098,train,8,2024-03-08 14:23:22.236655,2024-03-08 14:25:31.087160
travis_resstock-amy2018-2021-release-1-18098,train,9,2024-03-08 14:25:33.799815,2024-03-08 14:27:42.461749
travis_resstock-amy2018-2021-release-1-18098,train,10,2024-03-08 14:27:45.410982,2024-03-08 14:29:54.040171
travis_resstock-amy2018-2021-release-1-18098,train,11,2024-03-08 14:29:57.232204,2024-03-08 14:32:05.910682
travis_resstock-amy2018-2021-release-1-18098,train,12,2024-03-08 14:32:09.314226,2024-03-08 14:34:17.997500
travis_resstock-amy2018-2021-release-1-18098,train,13,2024-03-08 14:34:21.596223,2024-03-08 14:36:30.415710
travis_resstock-amy2018-2021-release-1-18098,train,14,2024-03-08 14:36:34.231506,2024-03-08 14:38:40.697011
travis_resstock-amy2018-2021-release-1-18098,test,0,2024-03-08 14:38:45.046603,2024-03-08 14:38:59.103078
