cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.9790345506410544,District,district,train,0,alameda_resstock-amy2018-2021-release-1-175803
average_daily_peak,1.543078498749084,District,district,train,0,alameda_resstock-amy2018-2021-release-1-175803
carbon_emissions,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-175803
cost,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-175803
electricity_consumption,1.3546462070539242,District,district,train,0,alameda_resstock-amy2018-2021-release-1-175803
peak_demand,1.3080900090750092,District,district,train,0,alameda_resstock-amy2018-2021-release-1-175803
ramping,2.6260745764969,District,district,train,0,alameda_resstock-amy2018-2021-release-1-175803
zero_net_energy,-4.150442267085129,District,district,train,0,alameda_resstock-amy2018-2021-release-1-175803
electricity_consumption,1.3546462070539242,resstock-amy2018-2021-release-1-175803,building,train,0,alameda_resstock-amy2018-2021-release-1-175803
zero_net_energy,-4.150442267085129,resstock-amy2018-2021-release-1-175803,building,train,0,alameda_resstock-amy2018-2021-release-1-175803
carbon_emissions,,resstock-amy2018-2021-release-1-175803,building,train,0,alameda_resstock-amy2018-2021-release-1-175803
cost,,resstock-amy2018-2021-release-1-175803,building,train,0,alameda_resstock-amy2018-2021-release-1-175803
1 - load_factor,0.9891759705690256,District,district,train,1,alameda_resstock-amy2018-2021-release-1-175803
average_daily_peak,1.069309978791319,District,district,train,1,alameda_resstock-amy2018-2021-release-1-175803
carbon_emissions,,District,district,train,1,alameda_resstock-amy2018-2021-release-1-175803
cost,,District,district,train,1,alameda_resstock-amy2018-2021-release-1-175803
electricity_consumption,0.9221267565043364,District,district,train,1,alameda_resstock-amy2018-2021-release-1-175803
peak_demand,1.1129599862288662,District,district,train,1,alameda_resstock-amy2018-2021-release-1-175803
ramping,1.410308915080553,District,district,train,1,alameda_resstock-amy2018-2021-release-1-175803
zero_net_energy,-1.873267919470004,District,district,train,1,alameda_resstock-amy2018-2021-release-1-175803
electricity_consumption,0.9221267565043364,resstock-amy2018-2021-release-1-175803,building,train,1,alameda_resstock-amy2018-2021-release-1-175803
zero_net_energy,-1.873267919470004,resstock-amy2018-2021-release-1-175803,building,train,1,alameda_resstock-amy2018-2021-release-1-175803
carbon_emissions,,resstock-amy2018-2021-release-1-175803,building,train,1,alameda_resstock-amy2018-2021-release-1-175803
cost,,resstock-amy2018-2021-release-1-175803,building,train,1,alameda_resstock-amy2018-2021-release-1-175803
1 - load_factor,0.9791805918953252,District,district,train,2,alameda_resstock-amy2018-2021-release-1-175803
average_daily_peak,0.9574743009432952,District,district,train,2,alameda_resstock-amy2018-2021-release-1-175803
carbon_emissions,,District,district,train,2,alameda_resstock-amy2018-2021-release-1-175803
cost,,District,district,train,2,alameda_resstock-amy2018-2021-release-1-175803
electricity_consumption,0.8114351944992383,District,district,train,2,alameda_resstock-amy2018-2021-release-1-175803
peak_demand,1.0125521592640945,District,district,train,2,alameda_resstock-amy2018-2021-release-1-175803
ramping,1.1956471139836506,District,district,train,2,alameda_resstock-amy2018-2021-release-1-175803
zero_net_energy,-2.4394072803408418,District,district,train,2,alameda_resstock-amy2018-2021-release-1-175803
electricity_consumption,0.8114351944992383,resstock-amy2018-2021-release-1-175803,building,train,2,alameda_resstock-amy2018-2021-release-1-175803
zero_net_energy,-2.4394072803408418,resstock-amy2018-2021-release-1-175803,building,train,2,alameda_resstock-amy2018-2021-release-1-175803
carbon_emissions,,resstock-amy2018-2021-release-1-175803,building,train,2,alameda_resstock-amy2018-2021-release-1-175803
cost,,resstock-amy2018-2021-release-1-175803,building,train,2,alameda_resstock-amy2018-2021-release-1-175803
1 - load_factor,0.978707692550666,District,district,train,3,alameda_resstock-amy2018-2021-release-1-175803
average_daily_peak,0.9395479503158982,District,district,train,3,alameda_resstock-amy2018-2021-release-1-175803
carbon_emissions,,District,district,train,3,alameda_resstock-amy2018-2021-release-1-175803
cost,,District,district,train,3,alameda_resstock-amy2018-2021-release-1-175803
electricity_consumption,0.7338136921133178,District,district,train,3,alameda_resstock-amy2018-2021-release-1-175803
peak_demand,1.0,District,district,train,3,alameda_resstock-amy2018-2021-release-1-175803
ramping,1.1393860539470384,District,district,train,3,alameda_resstock-amy2018-2021-release-1-175803
zero_net_energy,-2.9355729290283348,District,district,train,3,alameda_resstock-amy2018-2021-release-1-175803
electricity_consumption,0.7338136921133178,resstock-amy2018-2021-release-1-175803,building,train,3,alameda_resstock-amy2018-2021-release-1-175803
zero_net_energy,-2.9355729290283348,resstock-amy2018-2021-release-1-175803,building,train,3,alameda_resstock-amy2018-2021-release-1-175803
carbon_emissions,,resstock-amy2018-2021-release-1-175803,building,train,3,alameda_resstock-amy2018-2021-release-1-175803
cost,,resstock-amy2018-2021-release-1-175803,building,train,3,alameda_resstock-amy2018-2021-release-1-175803
1 - load_factor,0.9841816650763442,District,district,train,4,alameda_resstock-amy2018-2021-release-1-175803
average_daily_peak,0.9079485150818768,District,district,train,4,alameda_resstock-amy2018-2021-release-1-175803
carbon_emissions,,District,district,train,4,alameda_resstock-amy2018-2021-release-1-175803
cost,,District,district,train,4,alameda_resstock-amy2018-2021-release-1-175803
electricity_consumption,0.7015150374491367,District,district,train,4,alameda_resstock-amy2018-2021-release-1-175803
peak_demand,0.7391147321488223,District,district,train,4,alameda_resstock-amy2018-2021-release-1-175803
ramping,1.0996993997240667,District,district,train,4,alameda_resstock-amy2018-2021-release-1-175803
zero_net_energy,-3.126228378379156,District,district,train,4,alameda_resstock-amy2018-2021-release-1-175803
electricity_consumption,0.7015150374491367,resstock-amy2018-2021-release-1-175803,building,train,4,alameda_resstock-amy2018-2021-release-1-175803
zero_net_energy,-3.126228378379156,resstock-amy2018-2021-release-1-175803,building,train,4,alameda_resstock-amy2018-2021-release-1-175803
carbon_emissions,,resstock-amy2018-2021-release-1-175803,building,train,4,alameda_resstock-amy2018-2021-release-1-175803
cost,,resstock-amy2018-2021-release-1-175803,building,train,4,alameda_resstock-amy2018-2021-release-1-175803
1 - load_factor,0.9730270911859398,District,district,train,5,alameda_resstock-amy2018-2021-release-1-175803
average_daily_peak,0.8737466500655348,District,district,train,5,alameda_resstock-amy2018-2021-release-1-175803
carbon_emissions,,District,district,train,5,alameda_resstock-amy2018-2021-release-1-175803
cost,,District,district,train,5,alameda_resstock-amy2018-2021-release-1-175803
electricity_consumption,0.6834617192396103,District,district,train,5,alameda_resstock-amy2018-2021-release-1-175803
peak_demand,0.8346721404803357,District,district,train,5,alameda_resstock-amy2018-2021-release-1-175803
ramping,1.0309794419958385,District,district,train,5,alameda_resstock-amy2018-2021-release-1-175803
zero_net_energy,-3.153908914663805,District,district,train,5,alameda_resstock-amy2018-2021-release-1-175803
electricity_consumption,0.6834617192396103,resstock-amy2018-2021-release-1-175803,building,train,5,alameda_resstock-amy2018-2021-release-1-175803
zero_net_energy,-3.153908914663805,resstock-amy2018-2021-release-1-175803,building,train,5,alameda_resstock-amy2018-2021-release-1-175803
carbon_emissions,,resstock-amy2018-2021-release-1-175803,building,train,5,alameda_resstock-amy2018-2021-release-1-175803
cost,,resstock-amy2018-2021-release-1-175803,building,train,5,alameda_resstock-amy2018-2021-release-1-175803
