cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.9758990278546129,District,district,train,0,alameda_resstock-amy2018-2021-release-1-122940
average_daily_peak,1.2603730211232467,District,district,train,0,alameda_resstock-amy2018-2021-release-1-122940
carbon_emissions,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-122940
cost,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-122940
electricity_consumption,1.2674740387443224,District,district,train,0,alameda_resstock-amy2018-2021-release-1-122940
peak_demand,1.0341049018163833,District,district,train,0,alameda_resstock-amy2018-2021-release-1-122940
ramping,1.948323117381961,District,district,train,0,alameda_resstock-amy2018-2021-release-1-122940
zero_net_energy,0.2602796197470055,District,district,train,0,alameda_resstock-amy2018-2021-release-1-122940
electricity_consumption,1.2674740387443224,resstock-amy2018-2021-release-1-122940,building,train,0,alameda_resstock-amy2018-2021-release-1-122940
zero_net_energy,0.2602796197470055,resstock-amy2018-2021-release-1-122940,building,train,0,alameda_resstock-amy2018-2021-release-1-122940
carbon_emissions,,resstock-amy2018-2021-release-1-122940,building,train,0,alameda_resstock-amy2018-2021-release-1-122940
cost,,resstock-amy2018-2021-release-1-122940,building,train,0,alameda_resstock-amy2018-2021-release-1-122940
