simulation_id,mode,episode,start_timestamp,end_timestamp
travis_resstock-amy2018-2021-release-1-174481,train,0,2024-03-08 13:36:50.853831,2024-03-08 13:36:57.270900
travis_resstock-amy2018-2021-release-1-174481,train,1,2024-03-08 13:36:58.199150,2024-03-08 13:39:08.140568
travis_resstock-amy2018-2021-release-1-174481,train,2,2024-03-08 13:39:09.330603,2024-03-08 13:41:19.040891
travis_resstock-amy2018-2021-release-1-174481,train,3,2024-03-08 13:41:20.452361,2024-03-08 13:43:30.513321
travis_resstock-amy2018-2021-release-1-174481,train,4,2024-03-08 13:43:32.170897,2024-03-08 13:45:41.687416
travis_resstock-amy2018-2021-release-1-174481,train,5,2024-03-08 13:45:43.583698,2024-03-08 13:47:52.709209
travis_resstock-amy2018-2021-release-1-174481,train,6,2024-03-08 13:47:54.783748,2024-03-08 13:50:04.105257
travis_resstock-amy2018-2021-release-1-174481,train,7,2024-03-08 13:50:06.397452,2024-03-08 13:52:15.835341
travis_resstock-amy2018-2021-release-1-174481,train,8,2024-03-08 13:52:18.373703,2024-03-08 13:54:27.885533
travis_resstock-amy2018-2021-release-1-174481,train,9,2024-03-08 13:54:30.622846,2024-03-08 13:56:39.722605
travis_resstock-amy2018-2021-release-1-174481,train,10,2024-03-08 13:56:42.720956,2024-03-08 13:58:51.854002
travis_resstock-amy2018-2021-release-1-174481,train,11,2024-03-08 13:58:55.051096,2024-03-08 14:01:04.037399
travis_resstock-amy2018-2021-release-1-174481,train,12,2024-03-08 14:01:07.484800,2024-03-08 14:03:16.133483
travis_resstock-amy2018-2021-release-1-174481,train,13,2024-03-08 14:03:19.806101,2024-03-08 14:05:28.653420
travis_resstock-amy2018-2021-release-1-174481,train,14,2024-03-08 14:05:32.546413,2024-03-08 14:07:38.776881
travis_resstock-amy2018-2021-release-1-174481,test,0,2024-03-08 14:07:43.154232,2024-03-08 14:07:58.029228
