cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.9979937747769644,District,district,train,0,travis_resstock-amy2018-2021-release-1-192324
average_daily_peak,1.2767106911716908,District,district,train,0,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,District,district,train,0,travis_resstock-amy2018-2021-release-1-192324
cost,,District,district,train,0,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,1.1189618761424447,District,district,train,0,travis_resstock-amy2018-2021-release-1-192324
peak_demand,1.135601322748585,District,district,train,0,travis_resstock-amy2018-2021-release-1-192324
ramping,2.2649905828958774,District,district,train,0,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.126302864033414,District,district,train,0,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,1.1189618761424447,resstock-amy2018-2021-release-1-192324,building,train,0,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.126302864033414,resstock-amy2018-2021-release-1-192324,building,train,0,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,resstock-amy2018-2021-release-1-192324,building,train,0,travis_resstock-amy2018-2021-release-1-192324
cost,,resstock-amy2018-2021-release-1-192324,building,train,0,travis_resstock-amy2018-2021-release-1-192324
1 - load_factor,0.9937554886713889,District,district,train,1,travis_resstock-amy2018-2021-release-1-192324
average_daily_peak,0.9846205009397788,District,district,train,1,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,District,district,train,1,travis_resstock-amy2018-2021-release-1-192324
cost,,District,district,train,1,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,0.9722454989675564,District,district,train,1,travis_resstock-amy2018-2021-release-1-192324
peak_demand,1.0,District,district,train,1,travis_resstock-amy2018-2021-release-1-192324
ramping,1.1017114569178563,District,district,train,1,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.0409938990615504,District,district,train,1,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,0.9722454989675564,resstock-amy2018-2021-release-1-192324,building,train,1,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.0409938990615504,resstock-amy2018-2021-release-1-192324,building,train,1,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,resstock-amy2018-2021-release-1-192324,building,train,1,travis_resstock-amy2018-2021-release-1-192324
cost,,resstock-amy2018-2021-release-1-192324,building,train,1,travis_resstock-amy2018-2021-release-1-192324
1 - load_factor,0.984794426317802,District,district,train,2,travis_resstock-amy2018-2021-release-1-192324
average_daily_peak,0.9433399454900542,District,district,train,2,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,District,district,train,2,travis_resstock-amy2018-2021-release-1-192324
cost,,District,district,train,2,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,0.9422981613788048,District,district,train,2,travis_resstock-amy2018-2021-release-1-192324
peak_demand,1.0,District,district,train,2,travis_resstock-amy2018-2021-release-1-192324
ramping,1.0036582917340229,District,district,train,2,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.0499371113570746,District,district,train,2,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,0.9422981613788048,resstock-amy2018-2021-release-1-192324,building,train,2,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.0499371113570746,resstock-amy2018-2021-release-1-192324,building,train,2,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,resstock-amy2018-2021-release-1-192324,building,train,2,travis_resstock-amy2018-2021-release-1-192324
cost,,resstock-amy2018-2021-release-1-192324,building,train,2,travis_resstock-amy2018-2021-release-1-192324
1 - load_factor,0.981290520590542,District,district,train,3,travis_resstock-amy2018-2021-release-1-192324
average_daily_peak,0.9085300869927933,District,district,train,3,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,District,district,train,3,travis_resstock-amy2018-2021-release-1-192324
cost,,District,district,train,3,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,0.900529336252486,District,district,train,3,travis_resstock-amy2018-2021-release-1-192324
peak_demand,1.0,District,district,train,3,travis_resstock-amy2018-2021-release-1-192324
ramping,1.016570523606749,District,district,train,3,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.0713041391366676,District,district,train,3,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,0.900529336252486,resstock-amy2018-2021-release-1-192324,building,train,3,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.0713041391366676,resstock-amy2018-2021-release-1-192324,building,train,3,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,resstock-amy2018-2021-release-1-192324,building,train,3,travis_resstock-amy2018-2021-release-1-192324
cost,,resstock-amy2018-2021-release-1-192324,building,train,3,travis_resstock-amy2018-2021-release-1-192324
1 - load_factor,0.9821310497245108,District,district,train,4,travis_resstock-amy2018-2021-release-1-192324
average_daily_peak,0.9127866899535594,District,district,train,4,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,District,district,train,4,travis_resstock-amy2018-2021-release-1-192324
cost,,District,district,train,4,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,0.8790078700975091,District,district,train,4,travis_resstock-amy2018-2021-release-1-192324
peak_demand,1.0,District,district,train,4,travis_resstock-amy2018-2021-release-1-192324
ramping,1.0112513968327488,District,district,train,4,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.079871328629807,District,district,train,4,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,0.8790078700975091,resstock-amy2018-2021-release-1-192324,building,train,4,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.079871328629807,resstock-amy2018-2021-release-1-192324,building,train,4,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,resstock-amy2018-2021-release-1-192324,building,train,4,travis_resstock-amy2018-2021-release-1-192324
cost,,resstock-amy2018-2021-release-1-192324,building,train,4,travis_resstock-amy2018-2021-release-1-192324
1 - load_factor,0.98333849584862,District,district,train,5,travis_resstock-amy2018-2021-release-1-192324
average_daily_peak,0.9288275908713846,District,district,train,5,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,District,district,train,5,travis_resstock-amy2018-2021-release-1-192324
cost,,District,district,train,5,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,0.875288545588086,District,district,train,5,travis_resstock-amy2018-2021-release-1-192324
peak_demand,1.0,District,district,train,5,travis_resstock-amy2018-2021-release-1-192324
ramping,1.0516253343442965,District,district,train,5,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.08976597295806,District,district,train,5,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,0.875288545588086,resstock-amy2018-2021-release-1-192324,building,train,5,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.08976597295806,resstock-amy2018-2021-release-1-192324,building,train,5,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,resstock-amy2018-2021-release-1-192324,building,train,5,travis_resstock-amy2018-2021-release-1-192324
cost,,resstock-amy2018-2021-release-1-192324,building,train,5,travis_resstock-amy2018-2021-release-1-192324
1 - load_factor,0.9794136900844724,District,district,train,6,travis_resstock-amy2018-2021-release-1-192324
average_daily_peak,0.9250202519423916,District,district,train,6,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,District,district,train,6,travis_resstock-amy2018-2021-release-1-192324
cost,,District,district,train,6,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,0.8750871195941977,District,district,train,6,travis_resstock-amy2018-2021-release-1-192324
peak_demand,1.0,District,district,train,6,travis_resstock-amy2018-2021-release-1-192324
ramping,1.072144409330191,District,district,train,6,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.0937090851245934,District,district,train,6,travis_resstock-amy2018-2021-release-1-192324
electricity_consumption,0.8750871195941977,resstock-amy2018-2021-release-1-192324,building,train,6,travis_resstock-amy2018-2021-release-1-192324
zero_net_energy,1.0937090851245934,resstock-amy2018-2021-release-1-192324,building,train,6,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,resstock-amy2018-2021-release-1-192324,building,train,6,travis_resstock-amy2018-2021-release-1-192324
cost,,resstock-amy2018-2021-release-1-192324,building,train,6,travis_resstock-amy2018-2021-release-1-192324
1 - load_factor,0.9808592436595566,District,district,train,7,travis_resstock-amy2018-2021-release-1-192324
average_daily_peak,0.9301089529722084,District,district,train,7,travis_resstock-amy2018-2021-release-1-192324
carbon_emissions,,District,district,train,7,travis_resstock-amy2018-2021-release-1-192324
