cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.9887556190615102,District,district,train,0,travis_resstock-amy2018-2021-release-1-182813
average_daily_peak,1.2613457054769803,District,district,train,0,travis_resstock-amy2018-2021-release-1-182813
carbon_emissions,,District,district,train,0,travis_resstock-amy2018-2021-release-1-182813
cost,,District,district,train,0,travis_resstock-amy2018-2021-release-1-182813
electricity_consumption,1.174117404519054,District,district,train,0,travis_resstock-amy2018-2021-release-1-182813
peak_demand,1.1370731889201176,District,district,train,0,travis_resstock-amy2018-2021-release-1-182813
ramping,2.1236067036870083,District,district,train,0,travis_resstock-amy2018-2021-release-1-182813
zero_net_energy,1.3086249102561334,District,district,train,0,travis_resstock-amy2018-2021-release-1-182813
electricity_consumption,1.174117404519054,resstock-amy2018-2021-release-1-182813,building,train,0,travis_resstock-amy2018-2021-release-1-182813
zero_net_energy,1.3086249102561334,resstock-amy2018-2021-release-1-182813,building,train,0,travis_resstock-amy2018-2021-release-1-182813
carbon_emissions,,resstock-amy2018-2021-release-1-182813,building,train,0,travis_resstock-amy2018-2021-release-1-182813
cost,,resstock-amy2018-2021-release-1-182813,building,train,0,travis_resstock-amy2018-2021-release-1-182813
1 - load_factor,0.9925393754019364,District,district,train,1,travis_resstock-amy2018-2021-release-1-182813
average_daily_peak,0.9493633545692044,District,district,train,1,travis_resstock-amy2018-2021-release-1-182813
carbon_emissions,,District,district,train,1,travis_resstock-amy2018-2021-release-1-182813
cost,,District,district,train,1,travis_resstock-amy2018-2021-release-1-182813
electricity_consumption,0.8776963722775629,District,district,train,1,travis_resstock-amy2018-2021-release-1-182813
peak_demand,1.1209161729318675,District,district,train,1,travis_resstock-amy2018-2021-release-1-182813
ramping,1.1058587915640077,District,district,train,1,travis_resstock-amy2018-2021-release-1-182813
zero_net_energy,1.1638732087585422,District,district,train,1,travis_resstock-amy2018-2021-release-1-182813
electricity_consumption,0.8776963722775629,resstock-amy2018-2021-release-1-182813,building,train,1,travis_resstock-amy2018-2021-release-1-182813
zero_net_energy,1.1638732087585422,resstock-amy2018-2021-release-1-182813,building,train,1,travis_resstock-amy2018-2021-release-1-182813
carbon_emissions,,resstock-amy2018-2021-release-1-182813,building,train,1,travis_resstock-amy2018-2021-release-1-182813
cost,,resstock-amy2018-2021-release-1-182813,building,train,1,travis_resstock-amy2018-2021-release-1-182813
1 - load_factor,0.9882659268298034,District,district,train,2,travis_resstock-amy2018-2021-release-1-182813
average_daily_peak,0.9499929485311196,District,district,train,2,travis_resstock-amy2018-2021-release-1-182813
carbon_emissions,,District,district,train,2,travis_resstock-amy2018-2021-release-1-182813
cost,,District,district,train,2,travis_resstock-amy2018-2021-release-1-182813
electricity_consumption,0.8390073961680348,District,district,train,2,travis_resstock-amy2018-2021-release-1-182813
peak_demand,1.0,District,district,train,2,travis_resstock-amy2018-2021-release-1-182813
ramping,1.048436457749281,District,district,train,2,travis_resstock-amy2018-2021-release-1-182813
zero_net_energy,1.20175489644205,District,district,train,2,travis_resstock-amy2018-2021-release-1-182813
