cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.9830030112682604,District,district,train,0,alameda_resstock-amy2018-2021-release-1-174488
average_daily_peak,1.0999824961375535,District,district,train,0,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-174488
cost,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,1.215600675630284,District,district,train,0,alameda_resstock-amy2018-2021-release-1-174488
peak_demand,1.0587267034000938,District,district,train,0,alameda_resstock-amy2018-2021-release-1-174488
ramping,1.4898799974553607,District,district,train,0,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.2545532985946306,District,district,train,0,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,1.215600675630284,resstock-amy2018-2021-release-1-174488,building,train,0,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.2545532985946306,resstock-amy2018-2021-release-1-174488,building,train,0,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,resstock-amy2018-2021-release-1-174488,building,train,0,alameda_resstock-amy2018-2021-release-1-174488
cost,,resstock-amy2018-2021-release-1-174488,building,train,0,alameda_resstock-amy2018-2021-release-1-174488
1 - load_factor,0.9934078319043566,District,district,train,1,alameda_resstock-amy2018-2021-release-1-174488
average_daily_peak,0.9996566544104636,District,district,train,1,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,District,district,train,1,alameda_resstock-amy2018-2021-release-1-174488
cost,,District,district,train,1,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,1.02814183784503,District,district,train,1,alameda_resstock-amy2018-2021-release-1-174488
peak_demand,0.9885642111860882,District,district,train,1,alameda_resstock-amy2018-2021-release-1-174488
ramping,1.1726667127638486,District,district,train,1,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0814874003892778,District,district,train,1,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,1.02814183784503,resstock-amy2018-2021-release-1-174488,building,train,1,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0814874003892778,resstock-amy2018-2021-release-1-174488,building,train,1,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,resstock-amy2018-2021-release-1-174488,building,train,1,alameda_resstock-amy2018-2021-release-1-174488
cost,,resstock-amy2018-2021-release-1-174488,building,train,1,alameda_resstock-amy2018-2021-release-1-174488
1 - load_factor,0.994753025089695,District,district,train,2,alameda_resstock-amy2018-2021-release-1-174488
average_daily_peak,0.999574447773158,District,district,train,2,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,District,district,train,2,alameda_resstock-amy2018-2021-release-1-174488
cost,,District,district,train,2,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.9994923197035948,District,district,train,2,alameda_resstock-amy2018-2021-release-1-174488
peak_demand,1.0009273851417737,District,district,train,2,alameda_resstock-amy2018-2021-release-1-174488
ramping,1.1332261292924355,District,district,train,2,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.075128768004745,District,district,train,2,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.9994923197035948,resstock-amy2018-2021-release-1-174488,building,train,2,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.075128768004745,resstock-amy2018-2021-release-1-174488,building,train,2,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,resstock-amy2018-2021-release-1-174488,building,train,2,alameda_resstock-amy2018-2021-release-1-174488
cost,,resstock-amy2018-2021-release-1-174488,building,train,2,alameda_resstock-amy2018-2021-release-1-174488
1 - load_factor,0.9931963406346166,District,district,train,3,alameda_resstock-amy2018-2021-release-1-174488
average_daily_peak,0.986493593973152,District,district,train,3,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,District,district,train,3,alameda_resstock-amy2018-2021-release-1-174488
cost,,District,district,train,3,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.969317904565773,District,district,train,3,alameda_resstock-amy2018-2021-release-1-174488
peak_demand,0.958455855521071,District,district,train,3,alameda_resstock-amy2018-2021-release-1-174488
ramping,1.1177063047818885,District,district,train,3,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0551535871283826,District,district,train,3,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.969317904565773,resstock-amy2018-2021-release-1-174488,building,train,3,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0551535871283826,resstock-amy2018-2021-release-1-174488,building,train,3,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,resstock-amy2018-2021-release-1-174488,building,train,3,alameda_resstock-amy2018-2021-release-1-174488
cost,,resstock-amy2018-2021-release-1-174488,building,train,3,alameda_resstock-amy2018-2021-release-1-174488
1 - load_factor,0.9939514008250836,District,district,train,4,alameda_resstock-amy2018-2021-release-1-174488
average_daily_peak,0.9859435186692712,District,district,train,4,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,District,district,train,4,alameda_resstock-amy2018-2021-release-1-174488
cost,,District,district,train,4,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.9594842465806664,District,district,train,4,alameda_resstock-amy2018-2021-release-1-174488
peak_demand,0.9724320646330092,District,district,train,4,alameda_resstock-amy2018-2021-release-1-174488
ramping,1.110114110398555,District,district,train,4,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0535248600052776,District,district,train,4,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.9594842465806664,resstock-amy2018-2021-release-1-174488,building,train,4,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0535248600052776,resstock-amy2018-2021-release-1-174488,building,train,4,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,resstock-amy2018-2021-release-1-174488,building,train,4,alameda_resstock-amy2018-2021-release-1-174488
cost,,resstock-amy2018-2021-release-1-174488,building,train,4,alameda_resstock-amy2018-2021-release-1-174488
1 - load_factor,0.9964481968410056,District,district,train,5,alameda_resstock-amy2018-2021-release-1-174488
average_daily_peak,0.9811345421603516,District,district,train,5,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,District,district,train,5,alameda_resstock-amy2018-2021-release-1-174488
cost,,District,district,train,5,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.940596592409288,District,district,train,5,alameda_resstock-amy2018-2021-release-1-174488
peak_demand,1.004357937827069,District,district,train,5,alameda_resstock-amy2018-2021-release-1-174488
ramping,1.0746273721356152,District,district,train,5,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0514089876235555,District,district,train,5,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.940596592409288,resstock-amy2018-2021-release-1-174488,building,train,5,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0514089876235555,resstock-amy2018-2021-release-1-174488,building,train,5,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,resstock-amy2018-2021-release-1-174488,building,train,5,alameda_resstock-amy2018-2021-release-1-174488
cost,,resstock-amy2018-2021-release-1-174488,building,train,5,alameda_resstock-amy2018-2021-release-1-174488
1 - load_factor,0.995967221333118,District,district,train,6,alameda_resstock-amy2018-2021-release-1-174488
average_daily_peak,0.9876721564663764,District,district,train,6,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,District,district,train,6,alameda_resstock-amy2018-2021-release-1-174488
cost,,District,district,train,6,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.9334650323192796,District,district,train,6,alameda_resstock-amy2018-2021-release-1-174488
peak_demand,1.000927385141774,District,district,train,6,alameda_resstock-amy2018-2021-release-1-174488
ramping,1.0723589441767567,District,district,train,6,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0555385219869264,District,district,train,6,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.9334650323192796,resstock-amy2018-2021-release-1-174488,building,train,6,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0555385219869264,resstock-amy2018-2021-release-1-174488,building,train,6,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,resstock-amy2018-2021-release-1-174488,building,train,6,alameda_resstock-amy2018-2021-release-1-174488
cost,,resstock-amy2018-2021-release-1-174488,building,train,6,alameda_resstock-amy2018-2021-release-1-174488
1 - load_factor,0.9961075180333732,District,district,train,7,alameda_resstock-amy2018-2021-release-1-174488
average_daily_peak,0.9872053916028616,District,district,train,7,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,District,district,train,7,alameda_resstock-amy2018-2021-release-1-174488
cost,,District,district,train,7,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.9328827183397236,District,district,train,7,alameda_resstock-amy2018-2021-release-1-174488
peak_demand,1.004357937827069,District,district,train,7,alameda_resstock-amy2018-2021-release-1-174488
ramping,1.0744136136672189,District,district,train,7,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.055171323174345,District,district,train,7,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.9328827183397236,resstock-amy2018-2021-release-1-174488,building,train,7,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.055171323174345,resstock-amy2018-2021-release-1-174488,building,train,7,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,resstock-amy2018-2021-release-1-174488,building,train,7,alameda_resstock-amy2018-2021-release-1-174488
cost,,resstock-amy2018-2021-release-1-174488,building,train,7,alameda_resstock-amy2018-2021-release-1-174488
1 - load_factor,0.9954720093144568,District,district,train,8,alameda_resstock-amy2018-2021-release-1-174488
average_daily_peak,0.9851531802455592,District,district,train,8,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,District,district,train,8,alameda_resstock-amy2018-2021-release-1-174488
cost,,District,district,train,8,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.932270633847041,District,district,train,8,alameda_resstock-amy2018-2021-release-1-174488
peak_demand,1.004357937827069,District,district,train,8,alameda_resstock-amy2018-2021-release-1-174488
ramping,1.075195607918588,District,district,train,8,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0620690875837266,District,district,train,8,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.932270633847041,resstock-amy2018-2021-release-1-174488,building,train,8,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0620690875837266,resstock-amy2018-2021-release-1-174488,building,train,8,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,resstock-amy2018-2021-release-1-174488,building,train,8,alameda_resstock-amy2018-2021-release-1-174488
cost,,resstock-amy2018-2021-release-1-174488,building,train,8,alameda_resstock-amy2018-2021-release-1-174488
1 - load_factor,0.9953502464164872,District,district,train,9,alameda_resstock-amy2018-2021-release-1-174488
average_daily_peak,0.9768399141110784,District,district,train,9,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,District,district,train,9,alameda_resstock-amy2018-2021-release-1-174488
cost,,District,district,train,9,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.9295245654076704,District,district,train,9,alameda_resstock-amy2018-2021-release-1-174488
peak_demand,1.004357937827069,District,district,train,9,alameda_resstock-amy2018-2021-release-1-174488
ramping,1.0753686965761118,District,district,train,9,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0635140982405948,District,district,train,9,alameda_resstock-amy2018-2021-release-1-174488
electricity_consumption,0.9295245654076704,resstock-amy2018-2021-release-1-174488,building,train,9,alameda_resstock-amy2018-2021-release-1-174488
zero_net_energy,1.0635140982405948,resstock-amy2018-2021-release-1-174488,building,train,9,alameda_resstock-amy2018-2021-release-1-174488
carbon_emissions,,resstock-amy2018-2021-release-1-174488,building,train,9,alameda_resstock-amy2018-2021-release-1-174488
