cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.9925488563864728,District,district,train,0,travis_resstock-amy2018-2021-release-1-168742
average_daily_peak,1.2070861931645307,District,district,train,0,travis_resstock-amy2018-2021-release-1-168742
carbon_emissions,,District,district,train,0,travis_resstock-amy2018-2021-release-1-168742
cost,,District,district,train,0,travis_resstock-amy2018-2021-release-1-168742
electricity_consumption,1.1191597244871494,District,district,train,0,travis_resstock-amy2018-2021-release-1-168742
peak_demand,1.167781662666977,District,district,train,0,travis_resstock-amy2018-2021-release-1-168742
ramping,1.9867810368391066,District,district,train,0,travis_resstock-amy2018-2021-release-1-168742
zero_net_energy,1.1211831824742116,District,district,train,0,travis_resstock-amy2018-2021-release-1-168742
electricity_consumption,1.1191597244871494,resstock-amy2018-2021-release-1-168742,building,train,0,travis_resstock-amy2018-2021-release-1-168742
zero_net_energy,1.1211831824742116,resstock-amy2018-2021-release-1-168742,building,train,0,travis_resstock-amy2018-2021-release-1-168742
carbon_emissions,,resstock-amy2018-2021-release-1-168742,building,train,0,travis_resstock-amy2018-2021-release-1-168742
cost,,resstock-amy2018-2021-release-1-168742,building,train,0,travis_resstock-amy2018-2021-release-1-168742
