reward,time_step,building_name,mode,episode,simulation_id
,0,,train,0,travis_resstock-amy2018-2021-release-1-168742
-18.93133607250691,1,,train,0,travis_resstock-amy2018-2021-release-1-168742
-13.144736180709204,2,,train,0,travis_resstock-amy2018-2021-release-1-168742
-17.772841083991942,3,,train,0,travis_resstock-amy2018-2021-release-1-168742
-18.835608908613995,4,,train,0,travis_resstock-amy2018-2021-release-1-168742
-18.134713891502496,5,,train,0,travis_resstock-amy2018-2021-release-1-168742
-24.40674214494856,6,,train,0,travis_resstock-amy2018-2021-release-1-168742
-24.748042547781765,7,,train,0,travis_resstock-amy2018-2021-release-1-168742
-25.419886856984814,8,,train,0,travis_resstock-amy2018-2021-release-1-168742
-27.56514922388134,9,,train,0,travis_resstock-amy2018-2021-release-1-168742
-18.62807702683223,10,,train,0,travis_resstock-amy2018-2021-release-1-168742
-3.355946944988979,11,,train,0,travis_resstock-amy2018-2021-release-1-168742
-11.280170985279002,12,,train,0,travis_resstock-amy2018-2021-release-1-168742
-12.591715980892651,13,,train,0,travis_resstock-amy2018-2021-release-1-168742
-3.609592790094567,14,,train,0,travis_resstock-amy2018-2021-release-1-168742
-9.219835939411826,15,,train,0,travis_resstock-amy2018-2021-release-1-168742
-7.186943308489089,16,,train,0,travis_resstock-amy2018-2021-release-1-168742
-22.093265002386772,17,,train,0,travis_resstock-amy2018-2021-release-1-168742
-15.20770787331762,18,,train,0,travis_resstock-amy2018-2021-release-1-168742
-13.40107330705806,19,,train,0,travis_resstock-amy2018-2021-release-1-168742
-24.166471028073914,20,,train,0,travis_resstock-amy2018-2021-release-1-168742
-34.64522307832117,21,,train,0,travis_resstock-amy2018-2021-release-1-168742
-24.226390692550325,22,,train,0,travis_resstock-amy2018-2021-release-1-168742
-22.57905357876652,23,,train,0,travis_resstock-amy2018-2021-release-1-168742
-17.117335063425056,24,,train,0,travis_resstock-amy2018-2021-release-1-168742
-22.083312611966445,25,,train,0,travis_resstock-amy2018-2021-release-1-168742
-10.911197018742323,26,,train,0,travis_resstock-amy2018-2021-release-1-168742
-14.295971684065464,27,,train,0,travis_resstock-amy2018-2021-release-1-168742
-16.62569946606372,28,,train,0,travis_resstock-amy2018-2021-release-1-168742
-31.140347537829715,29,,train,0,travis_resstock-amy2018-2021-release-1-168742
-23.50448762498398,30,,train,0,travis_resstock-amy2018-2021-release-1-168742
-20.63226365242579,31,,train,0,travis_resstock-amy2018-2021-release-1-168742
-22.16805834114905,32,,train,0,travis_resstock-amy2018-2021-release-1-168742
-18.71724283919786,33,,train,0,travis_resstock-amy2018-2021-release-1-168742
-8.540810434624877,34,,train,0,travis_resstock-amy2018-2021-release-1-168742
-13.01203446887445,35,,train,0,travis_resstock-amy2018-2021-release-1-168742
-13.0775786723703,36,,train,0,travis_resstock-amy2018-2021-release-1-168742
-10.011321154664557,37,,train,0,travis_resstock-amy2018-2021-release-1-168742
-9.154789520839861,38,,train,0,travis_resstock-amy2018-2021-release-1-168742
-18.815196817590405,39,,train,0,travis_resstock-amy2018-2021-release-1-168742
-17.413085443876653,40,,train,0,travis_resstock-amy2018-2021-release-1-168742
-22.088331700305318,41,,train,0,travis_resstock-amy2018-2021-release-1-168742
-19.21031110579545,42,,train,0,travis_resstock-amy2018-2021-release-1-168742
-19.50354297360814,43,,train,0,travis_resstock-amy2018-2021-release-1-168742
-35.76507350554412,44,,train,0,travis_resstock-amy2018-2021-release-1-168742
-30.983991240678083,45,,train,0,travis_resstock-amy2018-2021-release-1-168742
-24.59980723944266,46,,train,0,travis_resstock-amy2018-2021-release-1-168742
-21.95173180902172,47,,train,0,travis_resstock-amy2018-2021-release-1-168742
-20.450688311456165,48,,train,0,travis_resstock-amy2018-2021-release-1-168742
-22.46867693585001,49,,train,0,travis_resstock-amy2018-2021-release-1-168742
-16.718937264859278,50,,train,0,travis_resstock-amy2018-2021-release-1-168742
-17.448773419482503,51,,train,0,travis_resstock-amy2018-2021-release-1-168742
-28.031703650708323,52,,train,0,travis_resstock-amy2018-2021-release-1-168742
-22.0953204594149,53,,train,0,travis_resstock-amy2018-2021-release-1-168742
-21.0066161848923,54,,train,0,travis_resstock-amy2018-2021-release-1-168742
-29.74044841322474,55,,train,0,travis_resstock-amy2018-2021-release-1-168742
-21.211174464259805,56,,train,0,travis_resstock-amy2018-2021-release-1-168742
-18.411975601208027,57,,train,0,travis_resstock-amy2018-2021-release-1-168742
-3.69350766968921,58,,train,0,travis_resstock-amy2018-2021-release-1-168742
-0.5472255255681352,59,,train,0,travis_resstock-amy2018-2021-release-1-168742
-1.2236289616002969,60,,train,0,travis_resstock-amy2018-2021-release-1-168742
-4.252015511915887,61,,train,0,travis_resstock-amy2018-2021-release-1-168742
-5.26886678196561,62,,train,0,travis_resstock-amy2018-2021-release-1-168742
-2.3339938730785095,63,,train,0,travis_resstock-amy2018-2021-release-1-168742
-1.1858056908992785,64,,train,0,travis_resstock-amy2018-2021-release-1-168742
-0.815348271664242,65,,train,0,travis_resstock-amy2018-2021-release-1-168742
-0.42830891165663987,66,,train,0,travis_resstock-amy2018-2021-release-1-168742
-0.49258279149301243,67,,train,0,travis_resstock-amy2018-2021-release-1-168742
-17.28866793023999,68,,train,0,travis_resstock-amy2018-2021-release-1-168742
-13.20986412832477,69,,train,0,travis_resstock-amy2018-2021-release-1-168742
-18.502552422708476,70,,train,0,travis_resstock-amy2018-2021-release-1-168742
-21.684491151467668,71,,train,0,travis_resstock-amy2018-2021-release-1-168742
-4.960087038750542,72,,train,0,travis_resstock-amy2018-2021-release-1-168742
-8.081854673169893,73,,train,0,travis_resstock-amy2018-2021-release-1-168742
-15.845740652515785,74,,train,0,travis_resstock-amy2018-2021-release-1-168742
-17.05394465019812,75,,train,0,travis_resstock-amy2018-2021-release-1-168742
-11.22544582738611,76,,train,0,travis_resstock-amy2018-2021-release-1-168742
-11.84617993911813,77,,train,0,travis_resstock-amy2018-2021-release-1-168742
-11.172110287385536,78,,train,0,travis_resstock-amy2018-2021-release-1-168742
-17.71601408154057,79,,train,0,travis_resstock-amy2018-2021-release-1-168742
-11.831031418219137,80,,train,0,travis_resstock-amy2018-2021-release-1-168742
-11.462380106754507,81,,train,0,travis_resstock-amy2018-2021-release-1-168742
-2.4238236313522874,82,,train,0,travis_resstock-amy2018-2021-release-1-168742
-2.347620547526706,83,,train,0,travis_resstock-amy2018-2021-release-1-168742
-1.1564001099720969,84,,train,0,travis_resstock-amy2018-2021-release-1-168742
-4.801639983819911,85,,train,0,travis_resstock-amy2018-2021-release-1-168742
-5.214337082591646,86,,train,0,travis_resstock-amy2018-2021-release-1-168742
-3.290094994252342,87,,train,0,travis_resstock-amy2018-2021-release-1-168742
