cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.987851839265338,District,district,train,0,travis_resstock-amy2018-2021-release-1-100862
average_daily_peak,1.077287733708217,District,district,train,0,travis_resstock-amy2018-2021-release-1-100862
carbon_emissions,,District,district,train,0,travis_resstock-amy2018-2021-release-1-100862
cost,,District,district,train,0,travis_resstock-amy2018-2021-release-1-100862
electricity_consumption,1.1352338267718916,District,district,train,0,travis_resstock-amy2018-2021-release-1-100862
peak_demand,1.0745420856974464,District,district,train,0,travis_resstock-amy2018-2021-release-1-100862
ramping,1.671011476619965,District,district,train,0,travis_resstock-amy2018-2021-release-1-100862
zero_net_energy,1.2028897288734193,District,district,train,0,travis_resstock-amy2018-2021-release-1-100862
electricity_consumption,1.1352338267718916,resstock-amy2018-2021-release-1-100862,building,train,0,travis_resstock-amy2018-2021-release-1-100862
zero_net_energy,1.2028897288734193,resstock-amy2018-2021-release-1-100862,building,train,0,travis_resstock-amy2018-2021-release-1-100862
carbon_emissions,,resstock-amy2018-2021-release-1-100862,building,train,0,travis_resstock-amy2018-2021-release-1-100862
cost,,resstock-amy2018-2021-release-1-100862,building,train,0,travis_resstock-amy2018-2021-release-1-100862
1 - load_factor,0.9926845364411516,District,district,train,1,travis_resstock-amy2018-2021-release-1-100862
average_daily_peak,0.9653982922695168,District,district,train,1,travis_resstock-amy2018-2021-release-1-100862
carbon_emissions,,District,district,train,1,travis_resstock-amy2018-2021-release-1-100862
cost,,District,district,train,1,travis_resstock-amy2018-2021-release-1-100862
electricity_consumption,0.9071664551385789,District,district,train,1,travis_resstock-amy2018-2021-release-1-100862
peak_demand,0.9129300011091244,District,district,train,1,travis_resstock-amy2018-2021-release-1-100862
ramping,1.0834461464520335,District,district,train,1,travis_resstock-amy2018-2021-release-1-100862
zero_net_energy,1.0871757795434014,District,district,train,1,travis_resstock-amy2018-2021-release-1-100862
electricity_consumption,0.9071664551385789,resstock-amy2018-2021-release-1-100862,building,train,1,travis_resstock-amy2018-2021-release-1-100862
zero_net_energy,1.0871757795434014,resstock-amy2018-2021-release-1-100862,building,train,1,travis_resstock-amy2018-2021-release-1-100862
carbon_emissions,,resstock-amy2018-2021-release-1-100862,building,train,1,travis_resstock-amy2018-2021-release-1-100862
cost,,resstock-amy2018-2021-release-1-100862,building,train,1,travis_resstock-amy2018-2021-release-1-100862
1 - load_factor,0.9903176350822164,District,district,train,2,travis_resstock-amy2018-2021-release-1-100862
average_daily_peak,0.951171989828687,District,district,train,2,travis_resstock-amy2018-2021-release-1-100862
carbon_emissions,,District,district,train,2,travis_resstock-amy2018-2021-release-1-100862
cost,,District,district,train,2,travis_resstock-amy2018-2021-release-1-100862
electricity_consumption,0.8593941697352719,District,district,train,2,travis_resstock-amy2018-2021-release-1-100862
peak_demand,0.9088610392730784,District,district,train,2,travis_resstock-amy2018-2021-release-1-100862
ramping,1.0337503572869025,District,district,train,2,travis_resstock-amy2018-2021-release-1-100862
zero_net_energy,1.097516548789266,District,district,train,2,travis_resstock-amy2018-2021-release-1-100862
electricity_consumption,0.8593941697352719,resstock-amy2018-2021-release-1-100862,building,train,2,travis_resstock-amy2018-2021-release-1-100862
zero_net_energy,1.097516548789266,resstock-amy2018-2021-release-1-100862,building,train,2,travis_resstock-amy2018-2021-release-1-100862
carbon_emissions,,resstock-amy2018-2021-release-1-100862,building,train,2,travis_resstock-amy2018-2021-release-1-100862
cost,,resstock-amy2018-2021-release-1-100862,building,train,2,travis_resstock-amy2018-2021-release-1-100862
1 - load_factor,0.9913336707118108,District,district,train,3,travis_resstock-amy2018-2021-release-1-100862
average_daily_peak,0.9546361006365154,District,district,train,3,travis_resstock-amy2018-2021-release-1-100862
carbon_emissions,,District,district,train,3,travis_resstock-amy2018-2021-release-1-100862
cost,,District,district,train,3,travis_resstock-amy2018-2021-release-1-100862
electricity_consumption,0.8537651360958545,District,district,train,3,travis_resstock-amy2018-2021-release-1-100862
peak_demand,0.944040728576448,District,district,train,3,travis_resstock-amy2018-2021-release-1-100862
ramping,1.0368463481202836,District,district,train,3,travis_resstock-amy2018-2021-release-1-100862
zero_net_energy,1.1026440812266922,District,district,train,3,travis_resstock-amy2018-2021-release-1-100862
electricity_consumption,0.8537651360958545,resstock-amy2018-2021-release-1-100862,building,train,3,travis_resstock-amy2018-2021-release-1-100862
zero_net_energy,1.1026440812266922,resstock-amy2018-2021-release-1-100862,building,train,3,travis_resstock-amy2018-2021-release-1-100862
carbon_emissions,,resstock-amy2018-2021-release-1-100862,building,train,3,travis_resstock-amy2018-2021-release-1-100862
cost,,resstock-amy2018-2021-release-1-100862,building,train,3,travis_resstock-amy2018-2021-release-1-100862
1 - load_factor,0.9905923874068108,District,district,train,4,travis_resstock-amy2018-2021-release-1-100862
average_daily_peak,0.949881716159898,District,district,train,4,travis_resstock-amy2018-2021-release-1-100862
carbon_emissions,,District,district,train,4,travis_resstock-amy2018-2021-release-1-100862
cost,,District,district,train,4,travis_resstock-amy2018-2021-release-1-100862
electricity_consumption,0.8436892105430718,District,district,train,4,travis_resstock-amy2018-2021-release-1-100862
peak_demand,0.9198370660698028,District,district,train,4,travis_resstock-amy2018-2021-release-1-100862
ramping,1.0398559984716258,District,district,train,4,travis_resstock-amy2018-2021-release-1-100862
zero_net_energy,1.1031463490384628,District,district,train,4,travis_resstock-amy2018-2021-release-1-100862
electricity_consumption,0.8436892105430718,resstock-amy2018-2021-release-1-100862,building,train,4,travis_resstock-amy2018-2021-release-1-100862
zero_net_energy,1.1031463490384628,resstock-amy2018-2021-release-1-100862,building,train,4,travis_resstock-amy2018-2021-release-1-100862
carbon_emissions,,resstock-amy2018-2021-release-1-100862,building,train,4,travis_resstock-amy2018-2021-release-1-100862
cost,,resstock-amy2018-2021-release-1-100862,building,train,4,travis_resstock-amy2018-2021-release-1-100862
1 - load_factor,0.990162785395827,District,district,train,5,travis_resstock-amy2018-2021-release-1-100862
average_daily_peak,0.9520426084841356,District,district,train,5,travis_resstock-amy2018-2021-release-1-100862
carbon_emissions,,District,district,train,5,travis_resstock-amy2018-2021-release-1-100862
cost,,District,district,train,5,travis_resstock-amy2018-2021-release-1-100862
electricity_consumption,0.8418456220397518,District,district,train,5,travis_resstock-amy2018-2021-release-1-100862
peak_demand,0.9133405932031842,District,district,train,5,travis_resstock-amy2018-2021-release-1-100862
ramping,1.0337384330918855,District,district,train,5,travis_resstock-amy2018-2021-release-1-100862
zero_net_energy,1.1030573845734146,District,district,train,5,travis_resstock-amy2018-2021-release-1-100862
electricity_consumption,0.8418456220397518,resstock-amy2018-2021-release-1-100862,building,train,5,travis_resstock-amy2018-2021-release-1-100862
zero_net_energy,1.1030573845734146,resstock-amy2018-2021-release-1-100862,building,train,5,travis_resstock-amy2018-2021-release-1-100862
carbon_emissions,,resstock-amy2018-2021-release-1-100862,building,train,5,travis_resstock-amy2018-2021-release-1-100862
cost,,resstock-amy2018-2021-release-1-100862,building,train,5,travis_resstock-amy2018-2021-release-1-100862
1 - load_factor,0.9902700013286057,District,district,train,6,travis_resstock-amy2018-2021-release-1-100862
