simulation_id,mode,episode,start_timestamp,end_timestamp
alameda_resstock-amy2018-2021-release-1-159669,train,0,2024-03-05 09:08:55.758766,2024-03-05 09:08:56.830640
alameda_resstock-amy2018-2021-release-1-159669,train,1,2024-03-05 09:08:57.015529,2024-03-05 09:09:17.147374
alameda_resstock-amy2018-2021-release-1-159669,train,2,2024-03-05 09:09:17.378059,2024-03-05 09:09:38.191850
alameda_resstock-amy2018-2021-release-1-159669,train,3,2024-03-05 09:09:38.454659,2024-03-05 09:09:59.271320
alameda_resstock-amy2018-2021-release-1-159669,train,4,2024-03-05 09:09:59.565986,2024-03-05 09:10:20.354786
alameda_resstock-amy2018-2021-release-1-159669,train,5,2024-03-05 09:10:20.684150,2024-03-05 09:10:41.448268
alameda_resstock-amy2018-2021-release-1-159669,train,6,2024-03-05 09:10:41.811381,2024-03-05 09:11:02.444404
alameda_resstock-amy2018-2021-release-1-159669,train,7,2024-03-05 09:11:02.842751,2024-03-05 09:11:23.554284
alameda_resstock-amy2018-2021-release-1-159669,train,8,2024-03-05 09:11:23.991105,2024-03-05 09:11:44.601726
alameda_resstock-amy2018-2021-release-1-159669,train,9,2024-03-05 09:11:45.075532,2024-03-05 09:12:05.679796
alameda_resstock-amy2018-2021-release-1-159669,train,10,2024-03-05 09:12:06.212887,2024-03-05 09:12:26.889364
alameda_resstock-amy2018-2021-release-1-159669,train,11,2024-03-05 09:12:27.448462,2024-03-05 09:12:48.007579
alameda_resstock-amy2018-2021-release-1-159669,train,12,2024-03-05 09:12:48.591682,2024-03-05 09:13:09.173254
alameda_resstock-amy2018-2021-release-1-159669,train,13,2024-03-05 09:13:09.781323,2024-03-05 09:13:30.304375
alameda_resstock-amy2018-2021-release-1-159669,train,14,2024-03-05 09:13:30.945332,2024-03-05 09:13:51.562688
alameda_resstock-amy2018-2021-release-1-159669,test,0,2024-03-05 09:13:52.526664,2024-03-05 09:13:53.967958
