cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.9877596764034036,District,district,train,0,alameda_resstock-amy2018-2021-release-1-159669
average_daily_peak,1.2652992862409398,District,district,train,0,alameda_resstock-amy2018-2021-release-1-159669
carbon_emissions,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-159669
cost,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-159669
electricity_consumption,1.208426439942287,District,district,train,0,alameda_resstock-amy2018-2021-release-1-159669
peak_demand,1.0178238090142997,District,district,train,0,alameda_resstock-amy2018-2021-release-1-159669
ramping,2.098270713031764,District,district,train,0,alameda_resstock-amy2018-2021-release-1-159669
zero_net_energy,1.3111296303126747,District,district,train,0,alameda_resstock-amy2018-2021-release-1-159669
electricity_consumption,1.208426439942287,resstock-amy2018-2021-release-1-159669,building,train,0,alameda_resstock-amy2018-2021-release-1-159669
zero_net_energy,1.3111296303126747,resstock-amy2018-2021-release-1-159669,building,train,0,alameda_resstock-amy2018-2021-release-1-159669
carbon_emissions,,resstock-amy2018-2021-release-1-159669,building,train,0,alameda_resstock-amy2018-2021-release-1-159669
cost,,resstock-amy2018-2021-release-1-159669,building,train,0,alameda_resstock-amy2018-2021-release-1-159669
1 - load_factor,0.9935010988161048,District,district,train,1,alameda_resstock-amy2018-2021-release-1-159669
average_daily_peak,1.0184346420654025,District,district,train,1,alameda_resstock-amy2018-2021-release-1-159669
carbon_emissions,,District,district,train,1,alameda_resstock-amy2018-2021-release-1-159669
cost,,District,district,train,1,alameda_resstock-amy2018-2021-release-1-159669
electricity_consumption,1.0006569664596134,District,district,train,1,alameda_resstock-amy2018-2021-release-1-159669
peak_demand,1.0385831913653818,District,district,train,1,alameda_resstock-amy2018-2021-release-1-159669
ramping,1.2467408070815496,District,district,train,1,alameda_resstock-amy2018-2021-release-1-159669
zero_net_energy,1.182401158361976,District,district,train,1,alameda_resstock-amy2018-2021-release-1-159669
electricity_consumption,1.0006569664596134,resstock-amy2018-2021-release-1-159669,building,train,1,alameda_resstock-amy2018-2021-release-1-159669
zero_net_energy,1.182401158361976,resstock-amy2018-2021-release-1-159669,building,train,1,alameda_resstock-amy2018-2021-release-1-159669
carbon_emissions,,resstock-amy2018-2021-release-1-159669,building,train,1,alameda_resstock-amy2018-2021-release-1-159669
cost,,resstock-amy2018-2021-release-1-159669,building,train,1,alameda_resstock-amy2018-2021-release-1-159669
1 - load_factor,0.992838013823322,District,district,train,2,alameda_resstock-amy2018-2021-release-1-159669
average_daily_peak,1.015093213864436,District,district,train,2,alameda_resstock-amy2018-2021-release-1-159669
carbon_emissions,,District,district,train,2,alameda_resstock-amy2018-2021-release-1-159669
cost,,District,district,train,2,alameda_resstock-amy2018-2021-release-1-159669
electricity_consumption,0.9373496447057622,District,district,train,2,alameda_resstock-amy2018-2021-release-1-159669
peak_demand,0.9908998607926144,District,district,train,2,alameda_resstock-amy2018-2021-release-1-159669
ramping,1.149320202697199,District,district,train,2,alameda_resstock-amy2018-2021-release-1-159669
zero_net_energy,1.210263319952539,District,district,train,2,alameda_resstock-amy2018-2021-release-1-159669
electricity_consumption,0.9373496447057622,resstock-amy2018-2021-release-1-159669,building,train,2,alameda_resstock-amy2018-2021-release-1-159669
zero_net_energy,1.210263319952539,resstock-amy2018-2021-release-1-159669,building,train,2,alameda_resstock-amy2018-2021-release-1-159669
carbon_emissions,,resstock-amy2018-2021-release-1-159669,building,train,2,alameda_resstock-amy2018-2021-release-1-159669
cost,,resstock-amy2018-2021-release-1-159669,building,train,2,alameda_resstock-amy2018-2021-release-1-159669
1 - load_factor,0.9919078521333966,District,district,train,3,alameda_resstock-amy2018-2021-release-1-159669
average_daily_peak,1.000830581849086,District,district,train,3,alameda_resstock-amy2018-2021-release-1-159669
carbon_emissions,,District,district,train,3,alameda_resstock-amy2018-2021-release-1-159669
cost,,District,district,train,3,alameda_resstock-amy2018-2021-release-1-159669
electricity_consumption,0.8879045712963353,District,district,train,3,alameda_resstock-amy2018-2021-release-1-159669
peak_demand,0.976443200171108,District,district,train,3,alameda_resstock-amy2018-2021-release-1-159669
ramping,1.1556921907809896,District,district,train,3,alameda_resstock-amy2018-2021-release-1-159669
zero_net_energy,1.213018572808866,District,district,train,3,alameda_resstock-amy2018-2021-release-1-159669
electricity_consumption,0.8879045712963353,resstock-amy2018-2021-release-1-159669,building,train,3,alameda_resstock-amy2018-2021-release-1-159669
zero_net_energy,1.213018572808866,resstock-amy2018-2021-release-1-159669,building,train,3,alameda_resstock-amy2018-2021-release-1-159669
carbon_emissions,,resstock-amy2018-2021-release-1-159669,building,train,3,alameda_resstock-amy2018-2021-release-1-159669
cost,,resstock-amy2018-2021-release-1-159669,building,train,3,alameda_resstock-amy2018-2021-release-1-159669
1 - load_factor,0.9912766243779666,District,district,train,4,alameda_resstock-amy2018-2021-release-1-159669
average_daily_peak,0.9893821544227386,District,district,train,4,alameda_resstock-amy2018-2021-release-1-159669
carbon_emissions,,District,district,train,4,alameda_resstock-amy2018-2021-release-1-159669
cost,,District,district,train,4,alameda_resstock-amy2018-2021-release-1-159669
electricity_consumption,0.8608932483305621,District,district,train,4,alameda_resstock-amy2018-2021-release-1-159669
peak_demand,0.9066068406508137,District,district,train,4,alameda_resstock-amy2018-2021-release-1-159669
ramping,1.0755124802484255,District,district,train,4,alameda_resstock-amy2018-2021-release-1-159669
zero_net_energy,1.2108640988719,District,district,train,4,alameda_resstock-amy2018-2021-release-1-159669
electricity_consumption,0.8608932483305621,resstock-amy2018-2021-release-1-159669,building,train,4,alameda_resstock-amy2018-2021-release-1-159669
zero_net_energy,1.2108640988719,resstock-amy2018-2021-release-1-159669,building,train,4,alameda_resstock-amy2018-2021-release-1-159669
carbon_emissions,,resstock-amy2018-2021-release-1-159669,building,train,4,alameda_resstock-amy2018-2021-release-1-159669
cost,,resstock-amy2018-2021-release-1-159669,building,train,4,alameda_resstock-amy2018-2021-release-1-159669
