reward,time_step,building_name,mode,episode,simulation_id
,0,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-8.612633659882796,1,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.6475971902511528,2,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-5.609123223691258,3,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-5.798330098584181,4,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-4.329156039062385,5,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-9.880954414645055,6,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-6.959198488100427,7,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-6.372236926565282,8,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-5.375976952318629,9,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-3.3305369038260637,10,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-5.066438755523721,11,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-2.4148449682976194,12,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.9760227909415576,13,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-5.015126073369286,14,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-2.6450270577200596,15,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.4649541793742107,16,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-9.609097369413515,17,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.9886991222519794,18,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.5171367094793,19,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.6162270065672287,20,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-9.953495149787283,21,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-2.515850463053014,22,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.2945874245540017,23,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-8.922582255741284,24,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-10.322556561629796,25,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.15766026793693597,26,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-2.680353866904797,27,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-2.297018943799208,28,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-10.473043982122684,29,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.5630907956033728,30,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.3355270840489857,31,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-4.512169497314429,32,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-3.5563461672745778,33,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.0765106026176774,34,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-2.619609647043733,35,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-2.723931969226979,36,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.1032461684849364,37,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.5006909966703513,38,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-7.367178753118653,39,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-5.773375031192196,40,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-11.733885560916715,41,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.6381256309939614,42,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-5.38619295944488,43,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-6.497853431164502,44,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-3.542294837778522,45,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.8418800043272519,46,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.9084888941302962,47,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-8.784206092093129,48,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-7.775385884551724,49,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.6701241956237146,50,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.3031393723264109,51,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-8.855709366259102,52,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-2.5847976966154773,53,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.098812891583551,54,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-10.881329845228215,55,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-4.727733155055185,56,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-6.710314535327509,57,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-8.139860967819791,58,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-6.201939562391939,59,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-7.112274543496023,60,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.2617363943989703,61,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.5439657519353216,62,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-10.27828547477224,63,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-5.443120056052963,64,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.059967720573556,65,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.1126446564862222,66,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.6142536899742719,67,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-8.335016920153175,68,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.9707797077716793,69,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-3.345710242044239,70,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-5.395359182030562,71,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.13531945630246447,72,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.0442431569206514,73,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-6.556083935927033,74,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-7.881042588003598,75,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.0849856887114855,76,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-0.21271796907922685,77,,train,0,alameda_resstock-amy2018-2021-release-1-108624
-1.2858220994216971,78,,train,0,alameda_resstock-amy2018-2021-release-1-108624
