cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.99674847607231,District,district,train,0,travis_resstock-amy2018-2021-release-1-192120
average_daily_peak,1.1729910452707173,District,district,train,0,travis_resstock-amy2018-2021-release-1-192120
carbon_emissions,,District,district,train,0,travis_resstock-amy2018-2021-release-1-192120
cost,,District,district,train,0,travis_resstock-amy2018-2021-release-1-192120
electricity_consumption,1.118182241698112,District,district,train,0,travis_resstock-amy2018-2021-release-1-192120
peak_demand,1.132214743307803,District,district,train,0,travis_resstock-amy2018-2021-release-1-192120
ramping,1.9114329365342104,District,district,train,0,travis_resstock-amy2018-2021-release-1-192120
zero_net_energy,1.1235950693951324,District,district,train,0,travis_resstock-amy2018-2021-release-1-192120
electricity_consumption,1.118182241698112,resstock-amy2018-2021-release-1-192120,building,train,0,travis_resstock-amy2018-2021-release-1-192120
zero_net_energy,1.1235950693951324,resstock-amy2018-2021-release-1-192120,building,train,0,travis_resstock-amy2018-2021-release-1-192120
carbon_emissions,,resstock-amy2018-2021-release-1-192120,building,train,0,travis_resstock-amy2018-2021-release-1-192120
cost,,resstock-amy2018-2021-release-1-192120,building,train,0,travis_resstock-amy2018-2021-release-1-192120
1 - load_factor,0.9969157014770058,District,district,train,1,travis_resstock-amy2018-2021-release-1-192120
average_daily_peak,0.9987469711161164,District,district,train,1,travis_resstock-amy2018-2021-release-1-192120
carbon_emissions,,District,district,train,1,travis_resstock-amy2018-2021-release-1-192120
cost,,District,district,train,1,travis_resstock-amy2018-2021-release-1-192120
electricity_consumption,0.9875207481000716,District,district,train,1,travis_resstock-amy2018-2021-release-1-192120
peak_demand,1.012609981376694,District,district,train,1,travis_resstock-amy2018-2021-release-1-192120
ramping,1.109520638751294,District,district,train,1,travis_resstock-amy2018-2021-release-1-192120
zero_net_energy,1.0432707359313504,District,district,train,1,travis_resstock-amy2018-2021-release-1-192120
electricity_consumption,0.9875207481000716,resstock-amy2018-2021-release-1-192120,building,train,1,travis_resstock-amy2018-2021-release-1-192120
zero_net_energy,1.0432707359313504,resstock-amy2018-2021-release-1-192120,building,train,1,travis_resstock-amy2018-2021-release-1-192120
carbon_emissions,,resstock-amy2018-2021-release-1-192120,building,train,1,travis_resstock-amy2018-2021-release-1-192120
cost,,resstock-amy2018-2021-release-1-192120,building,train,1,travis_resstock-amy2018-2021-release-1-192120
1 - load_factor,0.991229521622732,District,district,train,2,travis_resstock-amy2018-2021-release-1-192120
average_daily_peak,0.9418483610073553,District,district,train,2,travis_resstock-amy2018-2021-release-1-192120
carbon_emissions,,District,district,train,2,travis_resstock-amy2018-2021-release-1-192120
cost,,District,district,train,2,travis_resstock-amy2018-2021-release-1-192120
electricity_consumption,0.9345185772138014,District,district,train,2,travis_resstock-amy2018-2021-release-1-192120
peak_demand,0.987390018623306,District,district,train,2,travis_resstock-amy2018-2021-release-1-192120
ramping,1.0391189625960482,District,district,train,2,travis_resstock-amy2018-2021-release-1-192120
zero_net_energy,1.0634073815564031,District,district,train,2,travis_resstock-amy2018-2021-release-1-192120
electricity_consumption,0.9345185772138014,resstock-amy2018-2021-release-1-192120,building,train,2,travis_resstock-amy2018-2021-release-1-192120
zero_net_energy,1.0634073815564031,resstock-amy2018-2021-release-1-192120,building,train,2,travis_resstock-amy2018-2021-release-1-192120
carbon_emissions,,resstock-amy2018-2021-release-1-192120,building,train,2,travis_resstock-amy2018-2021-release-1-192120
cost,,resstock-amy2018-2021-release-1-192120,building,train,2,travis_resstock-amy2018-2021-release-1-192120
1 - load_factor,0.9904683690053948,District,district,train,3,travis_resstock-amy2018-2021-release-1-192120
average_daily_peak,0.9292547034346464,District,district,train,3,travis_resstock-amy2018-2021-release-1-192120
carbon_emissions,,District,district,train,3,travis_resstock-amy2018-2021-release-1-192120
cost,,District,district,train,3,travis_resstock-amy2018-2021-release-1-192120
electricity_consumption,0.9144862684501724,District,district,train,3,travis_resstock-amy2018-2021-release-1-192120
peak_demand,0.987390018623306,District,district,train,3,travis_resstock-amy2018-2021-release-1-192120
ramping,1.041439304852448,District,district,train,3,travis_resstock-amy2018-2021-release-1-192120
zero_net_energy,1.0716450381833036,District,district,train,3,travis_resstock-amy2018-2021-release-1-192120
electricity_consumption,0.9144862684501724,resstock-amy2018-2021-release-1-192120,building,train,3,travis_resstock-amy2018-2021-release-1-192120
zero_net_energy,1.0716450381833036,resstock-amy2018-2021-release-1-192120,building,train,3,travis_resstock-amy2018-2021-release-1-192120
carbon_emissions,,resstock-amy2018-2021-release-1-192120,building,train,3,travis_resstock-amy2018-2021-release-1-192120
cost,,resstock-amy2018-2021-release-1-192120,building,train,3,travis_resstock-amy2018-2021-release-1-192120
1 - load_factor,0.991513689864787,District,district,train,4,travis_resstock-amy2018-2021-release-1-192120
average_daily_peak,0.937056174808644,District,district,train,4,travis_resstock-amy2018-2021-release-1-192120
carbon_emissions,,District,district,train,4,travis_resstock-amy2018-2021-release-1-192120
cost,,District,district,train,4,travis_resstock-amy2018-2021-release-1-192120
electricity_consumption,0.9090325563298016,District,district,train,4,travis_resstock-amy2018-2021-release-1-192120
peak_demand,0.987390018623306,District,district,train,4,travis_resstock-amy2018-2021-release-1-192120
ramping,1.0631658333044878,District,district,train,4,travis_resstock-amy2018-2021-release-1-192120
zero_net_energy,1.071228060094383,District,district,train,4,travis_resstock-amy2018-2021-release-1-192120
electricity_consumption,0.9090325563298016,resstock-amy2018-2021-release-1-192120,building,train,4,travis_resstock-amy2018-2021-release-1-192120
zero_net_energy,1.071228060094383,resstock-amy2018-2021-release-1-192120,building,train,4,travis_resstock-amy2018-2021-release-1-192120
carbon_emissions,,resstock-amy2018-2021-release-1-192120,building,train,4,travis_resstock-amy2018-2021-release-1-192120
cost,,resstock-amy2018-2021-release-1-192120,building,train,4,travis_resstock-amy2018-2021-release-1-192120
1 - load_factor,0.9908572619681122,District,district,train,5,travis_resstock-amy2018-2021-release-1-192120
average_daily_peak,0.9272885893538708,District,district,train,5,travis_resstock-amy2018-2021-release-1-192120
carbon_emissions,,District,district,train,5,travis_resstock-amy2018-2021-release-1-192120
cost,,District,district,train,5,travis_resstock-amy2018-2021-release-1-192120
electricity_consumption,0.9041075056727056,District,district,train,5,travis_resstock-amy2018-2021-release-1-192120
peak_demand,1.011092635035635,District,district,train,5,travis_resstock-amy2018-2021-release-1-192120
ramping,1.0510343467784873,District,district,train,5,travis_resstock-amy2018-2021-release-1-192120
zero_net_energy,1.07565134350374,District,district,train,5,travis_resstock-amy2018-2021-release-1-192120
electricity_consumption,0.9041075056727056,resstock-amy2018-2021-release-1-192120,building,train,5,travis_resstock-amy2018-2021-release-1-192120
zero_net_energy,1.07565134350374,resstock-amy2018-2021-release-1-192120,building,train,5,travis_resstock-amy2018-2021-release-1-192120
carbon_emissions,,resstock-amy2018-2021-release-1-192120,building,train,5,travis_resstock-amy2018-2021-release-1-192120
cost,,resstock-amy2018-2021-release-1-192120,building,train,5,travis_resstock-amy2018-2021-release-1-192120
