simulation_id,mode,episode,start_timestamp,end_timestamp
travis_resstock-amy2018-2021-release-1-192120,train,0,2024-03-08 14:39:07.188441,2024-03-08 14:39:13.613743
travis_resstock-amy2018-2021-release-1-192120,train,1,2024-03-08 14:39:14.541952,2024-03-08 14:41:21.314877
travis_resstock-amy2018-2021-release-1-192120,train,2,2024-03-08 14:41:22.539151,2024-03-08 14:43:31.974330
travis_resstock-amy2018-2021-release-1-192120,train,3,2024-03-08 14:43:33.419611,2024-03-08 14:45:42.588614
travis_resstock-amy2018-2021-release-1-192120,train,4,2024-03-08 14:45:44.252610,2024-03-08 14:47:53.424218
travis_resstock-amy2018-2021-release-1-192120,train,5,2024-03-08 14:47:55.311712,2024-03-08 14:50:04.645095
travis_resstock-amy2018-2021-release-1-192120,train,6,2024-03-08 14:50:06.782208,2024-03-08 14:52:15.870323
travis_resstock-amy2018-2021-release-1-192120,train,7,2024-03-08 14:52:18.227162,2024-03-08 14:54:27.369525
travis_resstock-amy2018-2021-release-1-192120,train,8,2024-03-08 14:54:29.948517,2024-03-08 14:56:38.894972
travis_resstock-amy2018-2021-release-1-192120,train,9,2024-03-08 14:56:41.703600,2024-03-08 14:58:50.614261
travis_resstock-amy2018-2021-release-1-192120,train,10,2024-03-08 14:58:53.610836,2024-03-08 15:01:02.353862
