cost_function,value,name,level,mode,episode,simulation_id
electricity_consumption,0.8019169860509808,resstock-amy2018-2021-release-1-534588,building,train,4,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.331061447331505,resstock-amy2018-2021-release-1-534588,building,train,4,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,resstock-amy2018-2021-release-1-534588,building,train,4,alameda_resstock-amy2018-2021-release-1-534588
cost,,resstock-amy2018-2021-release-1-534588,building,train,4,alameda_resstock-amy2018-2021-release-1-534588
1 - load_factor,0.98334587630168,District,district,train,5,alameda_resstock-amy2018-2021-release-1-534588
average_daily_peak,0.963094370723734,District,district,train,5,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,District,district,train,5,alameda_resstock-amy2018-2021-release-1-534588
cost,,District,district,train,5,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.7994972373658895,District,district,train,5,alameda_resstock-amy2018-2021-release-1-534588
peak_demand,1.0,District,district,train,5,alameda_resstock-amy2018-2021-release-1-534588
ramping,1.0627912631202523,District,district,train,5,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.334626371566654,District,district,train,5,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.7994972373658895,resstock-amy2018-2021-release-1-534588,building,train,5,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.334626371566654,resstock-amy2018-2021-release-1-534588,building,train,5,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,resstock-amy2018-2021-release-1-534588,building,train,5,alameda_resstock-amy2018-2021-release-1-534588
cost,,resstock-amy2018-2021-release-1-534588,building,train,5,alameda_resstock-amy2018-2021-release-1-534588
1 - load_factor,0.979881699714724,District,district,train,6,alameda_resstock-amy2018-2021-release-1-534588
average_daily_peak,0.9288147119771794,District,district,train,6,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,District,district,train,6,alameda_resstock-amy2018-2021-release-1-534588
cost,,District,district,train,6,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.7832441822090094,District,district,train,6,alameda_resstock-amy2018-2021-release-1-534588
peak_demand,0.9646206870360412,District,district,train,6,alameda_resstock-amy2018-2021-release-1-534588
ramping,1.0125694056154766,District,district,train,6,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.3486779316235675,District,district,train,6,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.7832441822090094,resstock-amy2018-2021-release-1-534588,building,train,6,alameda_resstock-amy2018-2021-release-1-534588
zero_net_energy,1.3486779316235675,resstock-amy2018-2021-release-1-534588,building,train,6,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,resstock-amy2018-2021-release-1-534588,building,train,6,alameda_resstock-amy2018-2021-release-1-534588
cost,,resstock-amy2018-2021-release-1-534588,building,train,6,alameda_resstock-amy2018-2021-release-1-534588
1 - load_factor,0.9855943577862653,District,district,train,7,alameda_resstock-amy2018-2021-release-1-534588
average_daily_peak,0.9623294356208556,District,district,train,7,alameda_resstock-amy2018-2021-release-1-534588
carbon_emissions,,District,district,train,7,alameda_resstock-amy2018-2021-release-1-534588
cost,,District,district,train,7,alameda_resstock-amy2018-2021-release-1-534588
electricity_consumption,0.7815488686310191,District,district,train,7,alameda_resstock-amy2018-2021-release-1-534588
