simulation_id,mode,episode,start_timestamp,end_timestamp
travis_resstock-amy2018-2021-release-1-120089,train,0,2024-03-08 15:05:29.467481,2024-03-08 15:05:35.533205
travis_resstock-amy2018-2021-release-1-120089,train,1,2024-03-08 15:05:36.438206,2024-03-08 15:07:34.484957
travis_resstock-amy2018-2021-release-1-120089,train,2,2024-03-08 15:07:35.653223,2024-03-08 15:09:33.642378
travis_resstock-amy2018-2021-release-1-120089,train,3,2024-03-08 15:09:35.033465,2024-03-08 15:11:33.174945
travis_resstock-amy2018-2021-release-1-120089,train,4,2024-03-08 15:11:34.803064,2024-03-08 15:13:33.073545
travis_resstock-amy2018-2021-release-1-120089,train,5,2024-03-08 15:13:34.947781,2024-03-08 15:15:33.650850
travis_resstock-amy2018-2021-release-1-120089,train,6,2024-03-08 15:15:35.733423,2024-03-08 15:17:45.995722
travis_resstock-amy2018-2021-release-1-120089,train,7,2024-03-08 15:17:48.296214,2024-03-08 15:19:58.586496
travis_resstock-amy2018-2021-release-1-120089,train,8,2024-03-08 15:20:01.147169,2024-03-08 15:22:11.716266
travis_resstock-amy2018-2021-release-1-120089,train,9,2024-03-08 15:22:14.544913,2024-03-08 15:24:32.778126
travis_resstock-amy2018-2021-release-1-120089,train,10,2024-03-08 15:24:36.300701,2024-03-08 15:26:45.590284
