simulation_id,mode,episode,start_timestamp,end_timestamp
travis_resstock-amy2018-2021-release-1-193057,train,0,2024-03-08 14:39:20.190268,2024-03-08 14:39:26.786046
travis_resstock-amy2018-2021-release-1-193057,train,1,2024-03-08 14:39:27.744610,2024-03-08 14:41:37.655977
travis_resstock-amy2018-2021-release-1-193057,train,2,2024-03-08 14:41:38.888816,2024-03-08 14:43:48.473690
travis_resstock-amy2018-2021-release-1-193057,train,3,2024-03-08 14:43:49.930735,2024-03-08 14:45:59.255878
travis_resstock-amy2018-2021-release-1-193057,train,4,2024-03-08 14:46:00.911940,2024-03-08 14:48:10.163879
travis_resstock-amy2018-2021-release-1-193057,train,5,2024-03-08 14:48:12.037668,2024-03-08 14:50:21.529256
travis_resstock-amy2018-2021-release-1-193057,train,6,2024-03-08 14:50:23.656308,2024-03-08 14:52:33.027429
travis_resstock-amy2018-2021-release-1-193057,train,7,2024-03-08 14:52:35.353247,2024-03-08 14:54:44.761141
travis_resstock-amy2018-2021-release-1-193057,train,8,2024-03-08 14:54:47.335640,2024-03-08 14:56:56.490391
travis_resstock-amy2018-2021-release-1-193057,train,9,2024-03-08 14:56:59.244610,2024-03-08 14:59:08.413673
travis_resstock-amy2018-2021-release-1-193057,train,10,2024-03-08 14:59:11.432732,2024-03-08 15:01:20.435921
