cost_function,value,name,level,mode,episode,simulation_id
1 - load_factor,0.9886234352436732,District,district,train,0,alameda_resstock-amy2018-2021-release-1-177451
average_daily_peak,1.139960227251517,District,district,train,0,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-177451
cost,,District,district,train,0,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,1.176219890359753,District,district,train,0,alameda_resstock-amy2018-2021-release-1-177451
peak_demand,1.081404336944558,District,district,train,0,alameda_resstock-amy2018-2021-release-1-177451
ramping,1.6942448605896676,District,district,train,0,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.2101730906249966,District,district,train,0,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,1.176219890359753,resstock-amy2018-2021-release-1-177451,building,train,0,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.2101730906249966,resstock-amy2018-2021-release-1-177451,building,train,0,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,resstock-amy2018-2021-release-1-177451,building,train,0,alameda_resstock-amy2018-2021-release-1-177451
cost,,resstock-amy2018-2021-release-1-177451,building,train,0,alameda_resstock-amy2018-2021-release-1-177451
1 - load_factor,0.9831793848937594,District,district,train,1,alameda_resstock-amy2018-2021-release-1-177451
average_daily_peak,1.010603077493785,District,district,train,1,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,District,district,train,1,alameda_resstock-amy2018-2021-release-1-177451
cost,,District,district,train,1,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,1.0438917099376803,District,district,train,1,alameda_resstock-amy2018-2021-release-1-177451
peak_demand,1.0,District,district,train,1,alameda_resstock-amy2018-2021-release-1-177451
ramping,1.1732685450372442,District,district,train,1,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.133583687071271,District,district,train,1,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,1.0438917099376803,resstock-amy2018-2021-release-1-177451,building,train,1,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.133583687071271,resstock-amy2018-2021-release-1-177451,building,train,1,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,resstock-amy2018-2021-release-1-177451,building,train,1,alameda_resstock-amy2018-2021-release-1-177451
cost,,resstock-amy2018-2021-release-1-177451,building,train,1,alameda_resstock-amy2018-2021-release-1-177451
1 - load_factor,0.9964101377206596,District,district,train,2,alameda_resstock-amy2018-2021-release-1-177451
average_daily_peak,0.9983554685433648,District,district,train,2,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,District,district,train,2,alameda_resstock-amy2018-2021-release-1-177451
cost,,District,district,train,2,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,0.961277467101408,District,district,train,2,alameda_resstock-amy2018-2021-release-1-177451
peak_demand,1.0,District,district,train,2,alameda_resstock-amy2018-2021-release-1-177451
ramping,1.1239111751041266,District,district,train,2,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.0991917792606742,District,district,train,2,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,0.961277467101408,resstock-amy2018-2021-release-1-177451,building,train,2,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.0991917792606742,resstock-amy2018-2021-release-1-177451,building,train,2,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,resstock-amy2018-2021-release-1-177451,building,train,2,alameda_resstock-amy2018-2021-release-1-177451
cost,,resstock-amy2018-2021-release-1-177451,building,train,2,alameda_resstock-amy2018-2021-release-1-177451
1 - load_factor,0.9981760342839772,District,district,train,3,alameda_resstock-amy2018-2021-release-1-177451
average_daily_peak,0.9715922433887813,District,district,train,3,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,District,district,train,3,alameda_resstock-amy2018-2021-release-1-177451
cost,,District,district,train,3,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,0.9195994483796652,District,district,train,3,alameda_resstock-amy2018-2021-release-1-177451
peak_demand,1.0,District,district,train,3,alameda_resstock-amy2018-2021-release-1-177451
ramping,1.102362266905843,District,district,train,3,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.0779218006541316,District,district,train,3,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,0.9195994483796652,resstock-amy2018-2021-release-1-177451,building,train,3,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.0779218006541316,resstock-amy2018-2021-release-1-177451,building,train,3,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,resstock-amy2018-2021-release-1-177451,building,train,3,alameda_resstock-amy2018-2021-release-1-177451
cost,,resstock-amy2018-2021-release-1-177451,building,train,3,alameda_resstock-amy2018-2021-release-1-177451
1 - load_factor,0.9991127498914698,District,district,train,4,alameda_resstock-amy2018-2021-release-1-177451
average_daily_peak,0.977826931466385,District,district,train,4,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,District,district,train,4,alameda_resstock-amy2018-2021-release-1-177451
cost,,District,district,train,4,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,0.9075808238444576,District,district,train,4,alameda_resstock-amy2018-2021-release-1-177451
peak_demand,1.0,District,district,train,4,alameda_resstock-amy2018-2021-release-1-177451
ramping,1.106037182400969,District,district,train,4,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.0773307660033118,District,district,train,4,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,0.9075808238444576,resstock-amy2018-2021-release-1-177451,building,train,4,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.0773307660033118,resstock-amy2018-2021-release-1-177451,building,train,4,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,resstock-amy2018-2021-release-1-177451,building,train,4,alameda_resstock-amy2018-2021-release-1-177451
cost,,resstock-amy2018-2021-release-1-177451,building,train,4,alameda_resstock-amy2018-2021-release-1-177451
1 - load_factor,1.0010184794409147,District,district,train,5,alameda_resstock-amy2018-2021-release-1-177451
average_daily_peak,0.9697790510239808,District,district,train,5,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,District,district,train,5,alameda_resstock-amy2018-2021-release-1-177451
cost,,District,district,train,5,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,0.8988451982835125,District,district,train,5,alameda_resstock-amy2018-2021-release-1-177451
peak_demand,1.0,District,district,train,5,alameda_resstock-amy2018-2021-release-1-177451
ramping,1.061554088038006,District,district,train,5,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.0588743547386916,District,district,train,5,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,0.8988451982835125,resstock-amy2018-2021-release-1-177451,building,train,5,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.0588743547386916,resstock-amy2018-2021-release-1-177451,building,train,5,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,resstock-amy2018-2021-release-1-177451,building,train,5,alameda_resstock-amy2018-2021-release-1-177451
cost,,resstock-amy2018-2021-release-1-177451,building,train,5,alameda_resstock-amy2018-2021-release-1-177451
1 - load_factor,1.0005537361895422,District,district,train,6,alameda_resstock-amy2018-2021-release-1-177451
average_daily_peak,0.9736116923163416,District,district,train,6,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,District,district,train,6,alameda_resstock-amy2018-2021-release-1-177451
cost,,District,district,train,6,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,0.8999587632576909,District,district,train,6,alameda_resstock-amy2018-2021-release-1-177451
peak_demand,1.0,District,district,train,6,alameda_resstock-amy2018-2021-release-1-177451
ramping,1.033762146396987,District,district,train,6,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.0484973734148595,District,district,train,6,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,0.8999587632576909,resstock-amy2018-2021-release-1-177451,building,train,6,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.0484973734148595,resstock-amy2018-2021-release-1-177451,building,train,6,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,resstock-amy2018-2021-release-1-177451,building,train,6,alameda_resstock-amy2018-2021-release-1-177451
cost,,resstock-amy2018-2021-release-1-177451,building,train,6,alameda_resstock-amy2018-2021-release-1-177451
1 - load_factor,1.0016929236836587,District,district,train,7,alameda_resstock-amy2018-2021-release-1-177451
average_daily_peak,0.9724686978564888,District,district,train,7,alameda_resstock-amy2018-2021-release-1-177451
carbon_emissions,,District,district,train,7,alameda_resstock-amy2018-2021-release-1-177451
cost,,District,district,train,7,alameda_resstock-amy2018-2021-release-1-177451
electricity_consumption,0.8947914925728041,District,district,train,7,alameda_resstock-amy2018-2021-release-1-177451
peak_demand,1.0,District,district,train,7,alameda_resstock-amy2018-2021-release-1-177451
ramping,1.0200828060194151,District,district,train,7,alameda_resstock-amy2018-2021-release-1-177451
zero_net_energy,1.0530908998946065,District,district,train,7,alameda_resstock-amy2018-2021-release-1-177451
