simulation_id,mode,episode,start_timestamp,end_timestamp
travis_resstock-amy2018-2021-release-1-175576,train,0,2024-03-08 13:36:51.064143,2024-03-08 13:36:57.453263
travis_resstock-amy2018-2021-release-1-175576,train,1,2024-03-08 13:36:58.375991,2024-03-08 13:39:08.287578
travis_resstock-amy2018-2021-release-1-175576,train,2,2024-03-08 13:39:09.463738,2024-03-08 13:41:19.155325
travis_resstock-amy2018-2021-release-1-175576,train,3,2024-03-08 13:41:20.563946,2024-03-08 13:43:30.603890
travis_resstock-amy2018-2021-release-1-175576,train,4,2024-03-08 13:43:32.215379,2024-03-08 13:45:41.701010
travis_resstock-amy2018-2021-release-1-175576,train,5,2024-03-08 13:45:43.522872,2024-03-08 13:47:52.666791
travis_resstock-amy2018-2021-release-1-175576,train,6,2024-03-08 13:47:54.715461,2024-03-08 13:50:04.022256
travis_resstock-amy2018-2021-release-1-175576,train,7,2024-03-08 13:50:06.288654,2024-03-08 13:52:15.741921
travis_resstock-amy2018-2021-release-1-175576,train,8,2024-03-08 13:52:18.232705,2024-03-08 13:54:27.768861
travis_resstock-amy2018-2021-release-1-175576,train,9,2024-03-08 13:54:30.441509,2024-03-08 13:56:39.579150
travis_resstock-amy2018-2021-release-1-175576,train,10,2024-03-08 13:56:42.536322,2024-03-08 13:58:51.681603
travis_resstock-amy2018-2021-release-1-175576,train,11,2024-03-08 13:58:54.822916,2024-03-08 14:01:03.797729
travis_resstock-amy2018-2021-release-1-175576,train,12,2024-03-08 14:01:07.186069,2024-03-08 14:03:15.841438
travis_resstock-amy2018-2021-release-1-175576,train,13,2024-03-08 14:03:19.410640,2024-03-08 14:05:28.234307
travis_resstock-amy2018-2021-release-1-175576,train,14,2024-03-08 14:05:32.059266,2024-03-08 14:07:38.352046
travis_resstock-amy2018-2021-release-1-175576,test,0,2024-03-08 14:07:42.658503,2024-03-08 14:07:57.484800
